State,Year,(R01) Total Revenue,(R02) Total Rev-Own Sources,(R03) General Revenue,(R04) Gen Rev-Own Sources,(R05) Total Taxes,(R31) Total IG Revenue,(E001) Total Expenditure,(E002) Total IG Expenditure,(E013) General Expenditure
Alaska,2015,"11,931,622","9,002,357","10,810,293","7,881,028","3,102,853","2,929,265","16,856,025",0,"14,804,235"
Alaska,2016,"11,497,088","8,368,204","10,649,509","7,520,625","2,694,790","3,128,884","15,839,199",0,"13,642,439"
Alaska,2017,"14,302,763","10,784,943","11,645,812","8,127,992","3,051,849","3,517,820","14,945,036",0,"12,732,711"
Alaska,2018,"13,759,361","10,054,475","11,507,429","7,802,542","3,562,664","3,704,887","16,640,998",0,"14,505,489"
Maine,2000,"8,554,420","6,923,936","7,440,013","5,809,529","4,262,142","1,630,484","7,652,232","8,955","6,963,637"
Maine,2002,"8,019,443","6,118,858","8,076,693","6,176,108","4,541,146","1,900,585","8,677,113","36,316","7,984,360"
Maine,2004,"11,294,748","8,618,021","9,606,329","6,929,602","5,087,958","2,676,727","10,014,208","3,312","9,268,779"
Maine,2005,"11,383,089","8,735,897","9,984,551","7,337,359","5,364,117","2,647,192","10,206,579","12,513","9,509,772"
Maine,2006,"11,486,045","8,793,740","10,317,914","7,625,609","5,595,199","2,692,305","10,693,558","22,597","9,968,672"
Maine,2007,"12,482,589","9,960,292","10,365,931","7,843,634","5,747,933","2,522,297","10,861,972","13,484","10,059,718"
Maine,2008,"10,595,472","8,041,041","10,472,284","7,917,853","5,942,107","2,554,431","11,194,026","13,757","10,342,496"
Maine,2009,"9,484,844","6,236,059","11,022,340","7,773,555","5,818,239","3,248,785","11,934,713","12,798","10,875,437"
Maine,2010,"12,557,033","9,200,243","11,137,994","7,781,204","5,824,469","3,356,790","12,285,828","5,902","11,005,932"
Maine,2011,"13,921,585","10,521,291","11,428,714","8,028,420","6,028,523","3,400,294","12,500,230","5,334","11,243,650"
Maine,2012,"11,939,639","8,890,092","11,365,380","8,315,833","6,137,743","3,049,547","12,293,652",0,"11,052,248"
Maine,2013,"13,302,514","10,335,199","11,417,080","8,449,765","6,309,195","2,967,315","12,197,913",0,"10,962,075"
Maine,2014,"14,095,921","10,975,134","11,693,427","8,572,640","6,398,023","3,120,787","12,595,442",0,"11,349,941"
Maine,2015,"12,512,983","9,630,917","11,598,675","8,716,609","6,730,305","2,882,066","12,099,770",0,"10,859,685"
Maine,2016,"12,567,515","9,595,275","11,923,039","8,950,799","6,929,697","2,972,240","12,565,962",0,"11,364,348"
Maine,2017,"14,684,315","11,614,786","12,307,298","9,237,769","7,127,910","3,069,529","13,001,261",0,"11,672,259"
Maine,2018,"14,927,064","11,825,878","12,756,929","9,655,744","7,456,557","3,101,185","13,387,391",0,"12,004,353"
Maryland,2000,"33,949,282","29,340,160","29,075,530","24,466,408","18,289,881","4,609,122","30,598,125",0,"27,446,473"
Maryland,2002,"33,468,019","27,540,573","32,318,875","26,391,429","19,874,281","5,927,446","35,726,827",0,"31,946,401"
Maryland,2004,"44,404,420","37,087,564","36,893,557","29,576,701","22,222,675","7,316,856","38,410,803",0,"33,981,343"
Maryland,2005,"45,076,453","37,576,728","39,022,662","31,522,937","23,752,834","7,499,725","41,373,428",0,"36,754,101"
Maryland,2006,"48,292,144","40,409,972","41,756,979","33,874,807","25,713,552","7,882,172","44,280,412","34,295","39,415,973"
Maryland,2007,"53,186,913","45,090,633","42,938,446","34,842,166","26,019,590","8,096,280","47,790,383",0,"42,783,453"
Maryland,2008,"44,921,659","36,699,941","44,652,469","36,430,751","27,199,646","8,221,718","51,268,382",0,"45,680,302"
Maryland,2009,"40,006,722","30,479,166","46,940,960","37,413,404","28,053,532","9,527,556","54,742,747",0,"48,223,986"
Maryland,2010,"57,493,374","45,976,915","48,771,014","37,254,555","28,054,212","11,516,459","57,484,556",0,"49,761,756"
Maryland,2011,"62,803,435","50,367,921","51,073,381","38,637,867","29,048,836","12,435,514","57,761,605",0,"49,979,986"
Maryland,2012,"56,565,876","45,067,402","52,117,767","40,619,293","31,109,468","11,498,474","59,566,828",0,"51,660,750"
Maryland,2013,"64,551,839","53,225,800","53,755,368","42,429,329","32,284,011","11,326,039","60,495,611",0,"52,449,653"
Maryland,2014,"67,185,039","55,221,040","55,657,134","43,693,135","33,362,268","11,963,999","63,218,485",0,"55,263,624"
Maryland,2015,"64,612,341","51,381,098","59,018,864","45,787,621","35,100,965","13,231,243","66,456,169",0,"58,012,371"
Maryland,2016,"65,194,610","52,054,857","60,885,175","47,745,422","36,626,675","13,139,753","67,445,701",0,"58,596,919"
Maryland,2017,"73,060,133","59,018,854","62,907,242","48,865,963","37,704,675","14,041,279","69,958,059",0,"60,308,009"
Maryland,2018,"74,790,414","60,727,652","64,935,069","50,872,307","39,380,516","14,062,762","72,254,094",0,"62,261,044"
Massachusetts,2000,"46,102,672","39,663,665","38,294,856","31,855,849","24,042,067","6,439,007","44,361,795","181,082","37,950,923"
Massachusetts,2002,"41,901,609","35,725,666","38,977,987","32,802,044","23,895,436","6,175,943","51,125,208","180,575","42,506,605"
Massachusetts,2004,"60,935,514","50,791,165","47,312,659","37,168,310","27,015,147","10,144,349","57,594,942","182,952","48,241,537"
Massachusetts,2005,"62,019,392","52,679,261","49,640,040","40,299,909","28,776,835","9,340,131","57,862,269","199,155","48,740,434"
Massachusetts,2006,"66,588,191","56,793,245","52,255,154","42,460,208","30,639,319","9,794,946","60,776,536","280,644","51,557,477"
Massachusetts,2007,"70,120,204","59,482,684","54,734,451","44,096,931","32,118,285","10,637,520","64,721,834","193,360","54,583,495"
Massachusetts,2008,"65,770,834","54,547,464","59,070,968","47,847,598","34,149,486","11,223,370","68,434,557","195,973","56,774,922"
Massachusetts,2009,"52,546,070","38,309,759","60,596,739","46,360,428","32,400,164","14,236,311","73,333,907","201,212","59,699,918"
Massachusetts,2010,"76,099,979","60,644,020","61,773,935","46,317,976","33,366,231","15,455,959","76,678,608","208,719","60,240,001"
Massachusetts,2011,"82,849,657","66,420,475","65,455,152","49,025,970","35,841,109","16,429,182","78,147,959","215,111","62,431,684"
Massachusetts,2012,"73,543,772","58,865,584","64,674,986","49,996,798","37,064,830","14,678,188","80,070,920","10,488","64,882,506"
Massachusetts,2013,"82,199,710","67,617,663","65,797,399","51,215,352","38,830,496","14,582,047","80,752,126","6,725","66,107,016"
Massachusetts,2014,"87,971,825","73,194,921","69,035,842","54,258,938","40,622,548","14,776,904","83,942,218",166,"69,603,519"
Massachusetts,2015,"84,238,815","68,470,061","72,774,225","57,005,471","43,032,918","15,768,754","87,027,762","1,538","72,075,796"
Massachusetts,2016,"85,616,442","68,492,813","76,247,163","59,123,534","44,213,726","17,123,629","90,082,479","3,785","75,272,856"
Massachusetts,2017,"95,329,188","78,079,751","77,435,063","60,185,626","45,061,498","17,249,437","92,946,077","12,328","77,704,638"
Massachusetts,2018,"100,470,956","82,425,637","82,040,230","63,994,912","48,222,958","18,045,318","96,068,850",0,"80,192,562"
Michigan,2000,"70,111,672","59,780,831","56,415,159","46,084,318","31,474,162","10,330,841","61,505,543","61,927","54,812,156"
Michigan,2002,"63,400,981","50,849,258","58,241,165","45,689,442","30,692,130","12,551,723","69,686,780","59,603","61,066,303"
Michigan,2004,"79,688,972","64,935,701","65,005,562","50,252,291","33,478,182","14,753,271","77,327,278","58,682","67,407,681"
Michigan,2005,"81,138,462","66,942,985","66,743,024","52,547,547","35,295,510","14,195,477","76,063,447",0,"66,632,881"
Michigan,2006,"83,897,869","69,962,507","68,415,421","54,480,059","36,023,966","13,935,362","76,392,688","85,471","65,959,984"
Michigan,2007,"91,388,541","77,000,036","71,813,216","57,424,711","37,096,126","14,388,505","80,754,215",0,"69,687,266"
Michigan,2008,"69,088,082","54,204,737","73,207,047","58,323,702","37,649,910","14,883,345","83,758,206","4,599","72,077,377"
Michigan,2009,"72,163,625","54,454,541","73,122,831","55,413,747","35,912,138","17,709,084","86,331,821","27,308","72,775,604"
Michigan,2010,"93,818,603","72,809,699","75,903,193","54,894,289","35,261,055","21,008,904","90,934,592","29,999","73,855,299"
Michigan,2011,"93,555,103","71,755,950","78,340,824","56,541,671","36,388,057","21,799,153","89,635,214","17,679","73,780,171"
Michigan,2012,"91,383,838","71,541,572","75,872,039","56,029,773","36,226,216","19,842,266","88,711,315","15,657","73,907,638"
Michigan,2013,"96,812,774","77,044,947","77,310,557","57,542,730","37,083,957","19,767,827","89,106,474","13,613","74,742,050"
Michigan,2014,"99,854,338","80,449,459","78,015,411","58,610,532","37,404,640","19,404,879","92,044,509","12,670","76,359,820"
Michigan,2015,"95,113,232","73,075,429","83,604,319","61,566,516","39,652,327","22,037,803","93,510,917","11,023","79,782,477"
Michigan,2016,"98,854,813","76,466,063","85,797,532","63,408,782","40,677,328","22,388,750","96,459,823","8,025","82,633,758"
Michigan,2017,"108,232,434","85,387,792","88,812,210","65,967,568","42,312,146","22,844,642","99,015,555","5,368","84,746,188"
Michigan,2018,"111,396,494","88,541,530","90,930,686","68,075,722","43,712,823","22,854,964","102,850,679","1,615","88,382,887"
Minnesota,2000,"38,785,158","34,015,762","30,957,216","26,187,820","18,172,885","4,769,396","35,423,651",0,"31,166,332"
Minnesota,2002,"35,131,055","29,042,964","33,193,234","27,105,143","18,456,409","6,088,091","40,515,667",0,"34,933,058"
Minnesota,2004,"42,955,004","35,794,309","35,228,975","28,068,280","19,422,918","7,160,695","41,538,241",0,"36,032,108"
Minnesota,2005,"45,464,645","38,156,719","37,392,310","30,084,384","20,956,646","7,307,926","42,935,605",0,"37,399,347"
Minnesota,2006,"48,774,299","41,565,241","39,318,354","32,109,296","22,472,279","7,209,058","44,581,441","35,875","38,550,220"
Minnesota,2007,"54,342,531","47,012,081","41,450,958","34,120,508","23,662,415","7,330,450","47,229,599",0,"40,946,220"
Minnesota,2008,"45,659,035","37,806,360","43,388,869","35,536,194","24,717,873","7,852,675","50,900,512",0,"44,136,068"
Minnesota,2009,"39,015,154","30,325,807","43,713,622","35,024,275","24,199,451","8,689,347","54,373,893",0,"46,865,032"
Minnesota,2010,"57,410,235","46,548,659","46,609,634","35,748,058","24,618,798","10,861,576","55,975,246",0,"47,059,401"
Minnesota,2011,"63,654,150","53,063,729","48,781,150","38,190,729","26,825,917","10,590,421","55,668,773",0,"47,255,821"
Minnesota,2012,"56,335,857","45,921,836","49,445,509","39,031,488","28,114,416","10,414,021","56,198,780",0,"48,110,721"
Minnesota,2013,"65,560,197","56,070,576","51,510,775","42,021,154","30,813,438","9,489,621","55,457,627",0,"47,696,010"
Minnesota,2014,"67,486,617","57,677,581","52,244,019","42,434,983","30,677,514","9,809,036","59,428,583",17,"50,435,597"
Minnesota,2015,"66,048,761","54,367,834","56,499,189","44,818,262","32,665,318","11,680,927","60,595,397",242,"52,214,681"
Minnesota,2016,"63,851,206","51,908,462","58,196,185","46,253,441","33,676,617","11,942,744","65,181,889",145,"56,578,693"
Minnesota,2017,"73,697,678","61,871,038","58,864,620","47,037,980","34,404,839","11,826,640","68,282,287",348,"58,983,364"
Minnesota,2018,"79,464,460","66,777,720","62,561,414","49,874,671","35,975,054","12,686,743","72,269,804","1,766","62,446,449"
Mississippi,2000,"16,672,469","13,144,307","13,590,045","10,061,883","6,299,396","3,528,162","15,378,511",0,"13,932,362"
Mississippi,2002,"15,905,116","11,279,891","15,292,589","10,667,364","6,523,722","4,625,225","17,284,802",0,"15,384,166"
Mississippi,2004,"20,669,806","15,027,282","16,914,406","11,271,882","7,088,719","5,642,524","19,383,241",0,"17,214,587"
Mississippi,2005,"21,113,251","15,105,761","17,801,001","11,793,511","7,490,687","6,007,490","20,041,319",0,"17,846,208"
Mississippi,2006,"23,983,717","16,629,031","20,187,072","12,832,386","8,180,229","7,354,686","22,095,952","11,689","19,248,754"
Mississippi,2007,"29,535,523","19,813,324","23,776,817","14,054,618","8,811,193","9,722,199","24,694,879",0,"22,131,310"
Mississippi,2008,"23,524,206","15,341,331","23,022,258","14,839,383","9,178,835","8,182,875","25,164,384",0,"22,446,662"
Mississippi,2009,"21,758,969","13,313,413","23,249,253","14,803,697","9,068,221","8,445,556","26,236,580",0,"23,185,513"
Mississippi,2010,"28,690,347","19,451,807","24,193,182","14,954,642","8,931,366","9,238,540","27,216,342",0,"23,675,632"
Mississippi,2011,"31,498,562","22,203,262","24,789,206","15,493,906","9,309,391","9,295,300","27,464,721",0,"23,874,288"
Mississippi,2012,"26,757,575","18,488,251","24,119,556","15,850,232","9,709,929","8,269,324","27,770,689",0,"24,152,106"
Mississippi,2013,"30,030,775","22,061,547","24,518,444","16,549,216","10,226,522","7,969,228","27,497,697",0,"23,872,561"
Mississippi,2014,"31,131,322","23,509,728","24,564,129","16,942,535","10,474,231","7,621,594","27,799,980",0,"24,085,492"
Mississippi,2015,"29,436,598","21,165,883","25,888,468","17,617,753","10,923,633","8,270,715","28,831,534",0,"25,084,954"
Mississippi,2016,"29,456,966","20,705,153","26,662,384","17,910,571","10,782,583","8,751,813","29,656,273",0,"25,829,560"
Mississippi,2017,"32,791,684","24,258,764","26,655,805","18,122,885","10,934,505","8,532,920","30,173,569",0,"26,293,782"
Mississippi,2018,"32,082,853","23,475,172","26,964,426","18,356,746","11,231,842","8,607,680","30,247,358",0,"26,229,145"
Missouri,2000,"31,635,209","26,007,211","25,904,620","20,276,622","14,313,873","5,627,998","27,953,327","2,358","24,820,544"
Missouri,2002,"30,620,582","23,292,071","29,061,585","21,733,074","15,123,432","7,328,511","33,036,367","3,594","29,048,276"
Missouri,2004,"39,922,830","31,904,819","31,872,116","23,854,105","16,255,378","8,018,011","35,570,876","3,974","31,024,057"
Missouri,2005,"41,339,990","32,766,930","33,940,598","25,367,538","17,374,264","8,573,060","37,186,119","4,429","32,618,432"
Missouri,2006,"44,199,877","35,577,690","35,489,418","26,867,231","18,259,983","8,622,187","39,523,122","67,053","34,578,321"
Missouri,2007,"49,611,741","40,979,148","37,384,616","28,752,023","19,116,810","8,632,593","41,889,029",24,"36,482,700"
Missouri,2008,"41,965,289","32,781,931","38,811,169","29,627,811","19,772,165","9,183,358","44,750,733",0,"38,874,029"
Missouri,2009,"33,520,704","23,402,154","39,568,480","29,449,930","19,476,312","10,118,550","48,495,377","47,953","41,324,906"
Missouri,2010,"51,592,206","39,354,253","41,085,453","28,847,500","18,929,679","12,237,953","50,039,543","89,617","41,922,650"
Missouri,2011,"57,153,642","44,698,167","42,312,230","29,856,755","19,536,510","12,455,475","50,018,655","86,874","41,700,968"
Missouri,2012,"48,932,262","37,482,285","42,359,355","30,909,378","20,361,144","11,449,977","51,685,772","81,243","43,738,574"
Missouri,2013,"55,289,960","44,157,597","42,659,884","31,527,521","20,704,669","11,132,363","51,290,505","68,036","43,404,176"
Missouri,2014,"58,210,724","47,257,175","42,717,178","31,763,629","20,984,345","10,953,549","51,447,169","64,041","43,447,450"
Missouri,2015,"53,926,206","42,692,394","44,676,855","33,443,043","22,021,237","11,233,812","52,652,230","53,687","44,885,915"
Missouri,2016,"52,638,452","41,135,681","45,820,404","34,317,633","22,516,834","11,502,771","54,096,918","42,346","45,977,897"
Missouri,2017,"60,939,605","48,963,428","47,606,314","35,630,137","23,356,247","11,976,177","55,474,284","30,909","47,183,401"
Missouri,2018,"62,169,373","49,681,274","49,305,018","36,816,918","24,335,663","12,488,100","56,731,893","16,788","48,161,404"
Montana,2000,"5,642,920","4,337,029","4,856,455","3,550,564","2,131,839","1,305,891","4,983,156",0,"4,522,971"
Montana,2002,"5,510,513","3,920,111","5,122,091","3,531,689","2,135,182","1,590,402","5,616,294","1,197","5,051,909"
Montana,2004,"6,985,271","5,102,730","5,693,114","3,810,573","2,431,335","1,882,541","6,198,453",0,"5,546,611"
Montana,2005,"7,438,360","5,392,256","6,287,835","4,241,731","2,720,858","2,046,104","6,411,523",0,"5,751,255"
Montana,2006,"8,019,721","5,987,570","6,730,279","4,698,128","3,019,174","2,032,151","6,946,605","2,076","6,226,119"
Montana,2007,"9,160,780","7,145,369","7,113,413","5,098,002","3,262,025","2,015,411","7,446,231",227,"6,646,176"
Montana,2008,"8,515,325","6,406,888","7,488,043","5,379,606","3,443,218","2,108,437","8,126,517",215,"7,263,347"
Montana,2009,"7,158,599","4,835,014","7,921,539","5,597,954","3,571,048","2,323,585","8,486,811",168,"7,487,149"
Montana,2010,"9,783,778","7,056,448","8,193,936","5,466,606","3,324,611","2,727,330","9,296,445",193,"8,089,142"
Montana,2011,"10,281,267","7,610,394","7,992,345","5,321,472","3,468,616","2,670,873","9,323,622",202,"8,126,395"
Montana,2012,"9,196,570","6,483,851","8,150,532","5,437,813","3,618,400","2,712,719","8,952,597",0,"7,772,913"
Montana,2013,"10,342,381","7,734,206","8,174,618","5,566,443","3,850,741","2,608,175","9,088,133",0,"7,891,041"
Montana,2014,"10,758,733","8,166,070","8,305,003","5,712,340","3,929,690","2,592,663","9,295,661",0,"8,085,490"
Montana,2015,"9,965,767","7,303,269","8,631,339","5,968,841","4,175,377","2,662,498","9,471,049",0,"8,257,534"
Montana,2016,"9,628,358","6,804,564","8,635,751","5,811,957","3,977,482","2,823,794","9,931,269",0,"8,706,577"
Montana,2017,"11,561,469","8,284,758","9,262,246","5,985,535","4,181,175","3,276,711","11,006,600",0,"9,516,379"
Montana,2018,"13,941,717","10,582,506","9,792,614","6,433,402","4,578,570","3,359,212","11,170,684",0,"9,720,859"
Nebraska,2000,"11,650,469","9,940,254","9,020,506","7,310,291","4,972,968","1,710,215","10,831,429","11,350","8,417,279"
Nebraska,2002,"12,030,515","10,057,021","9,821,395","7,847,901","5,316,341","1,973,494","12,492,121","14,103","9,759,431"
Nebraska,2004,"15,510,744","12,974,676","11,701,157","9,165,089","6,307,884","2,536,068","14,069,166","17,965","10,788,096"
Nebraska,2005,"15,904,872","13,235,177","12,284,447","9,614,752","6,579,082","2,669,695","14,332,451","21,844","11,051,593"
Nebraska,2006,"16,979,550","14,361,363","12,881,084","10,262,897","6,846,205","2,618,187","15,304,612","37,993","11,710,569"
Nebraska,2007,"18,213,532","15,501,900","13,347,774","10,636,142","7,229,851","2,711,632","16,749,428","29,225","12,472,764"
Nebraska,2008,"17,098,639","14,357,914","13,784,983","11,044,258","7,427,712","2,740,725","17,624,949","31,152","13,324,884"
Nebraska,2009,"15,857,919","12,889,536","14,088,702","11,120,319","7,491,471","2,968,383","18,830,464","33,364","14,187,505"
Nebraska,2010,"20,120,741","16,633,581","14,783,827","11,296,667","7,486,602","3,487,160","19,314,748","39,342","14,528,776"
Nebraska,2011,"21,852,260","18,099,764","15,507,383","11,754,887","7,948,978","3,752,496","19,486,972","47,134","14,493,359"
Nebraska,2012,"20,465,954","16,975,374","15,581,664","12,091,084","8,150,284","3,490,580","19,931,937","43,377","14,792,640"
Nebraska,2013,"22,773,517","19,317,250","16,270,408","12,814,141","8,693,922","3,456,267","20,339,190","43,057","15,122,676"
Nebraska,2014,"23,894,512","20,571,268","16,683,591","13,360,347","9,109,647","3,323,244","20,787,146","44,076","15,567,644"
Nebraska,2015,"23,204,450","19,884,813","17,295,057","13,975,420","9,505,534","3,319,637","22,024,166","43,415","16,573,727"
Nebraska,2016,"22,686,088","19,281,079","17,322,074","13,917,065","9,704,233","3,405,009","22,799,753","43,415","17,197,700"
Nebraska,2017,"24,546,324","21,089,481","17,693,941","14,237,098","9,810,396","3,456,843","23,389,957","51,866","17,897,916"
Nebraska,2018,"25,434,619","21,879,551","18,441,503","14,886,435","10,315,580","3,555,068","23,510,265","54,212","17,947,213"
Nevada,2000,"11,885,072","10,652,452","9,591,772","8,359,152","5,824,824","1,232,620","11,229,943","6,272","9,761,639"
Nevada,2002,"12,809,362","11,176,924","11,417,176","9,784,738","6,432,564","1,632,438","13,970,658","7,338","11,773,706"
Nevada,2004,"16,894,724","14,974,957","13,274,271","11,354,504","7,971,598","1,919,767","16,071,443","1,092","13,509,933"
Nevada,2005,"18,953,181","16,712,622","15,374,683","13,134,124","9,043,570","2,240,559","17,404,534","1,351","14,934,719"
Nevada,2006,"20,363,376","17,971,036","16,577,526","14,185,186","9,763,849","2,392,340","18,761,656","6,336","16,048,541"
Nevada,2007,"23,198,414","20,732,417","17,828,475","15,362,478","10,445,337","2,465,997","20,009,336","6,224","17,229,710"
Nevada,2008,"19,991,120","17,734,088","18,044,520","15,787,488","10,620,416","2,257,032","21,454,309",610,"18,230,059"
Nevada,2009,"16,943,782","13,884,752","17,964,452","14,905,422","10,133,258","3,059,030","22,475,051","1,432","18,772,566"
Nevada,2010,"22,837,869","19,408,192","17,852,287","14,422,610","10,168,003","3,429,677","23,856,105","1,535","18,965,194"
Nevada,2011,"25,944,382","22,581,845","17,878,364","14,515,827","10,256,921","3,362,537","23,324,132","1,340","18,729,696"
Nevada,2012,"21,896,058","18,429,747","18,295,757","14,829,446","10,546,527","3,466,311","22,590,045","1,778","18,311,034"
Nevada,2013,"25,469,945","22,014,917","18,844,397","15,389,369","11,033,335","3,455,028","21,760,813","1,773","17,820,032"
Nevada,2014,"26,862,851","23,476,573","18,926,764","15,540,486","11,271,637","3,386,278","22,127,699","4,125","18,003,286"
Nevada,2015,"25,296,262","20,779,610","20,771,498","16,254,846","11,852,611","4,516,652","23,302,108","2,242","19,577,175"
Nevada,2016,"26,301,713","21,317,513","22,166,128","17,181,928","12,583,334","4,984,200","24,326,916","5,582","20,284,836"
Nevada,2017,"31,401,063","25,949,286","23,697,185","18,245,408","13,421,336","5,451,777","26,177,526","1,721","22,034,460"
Nevada,2018,"32,225,257","26,452,817","25,113,643","19,341,203","14,220,693","5,772,440","27,730,891","3,790","23,426,494"
Arizona,2000,"27,777,897","23,302,754","22,863,187","18,388,044","13,333,612","4,475,143","27,293,135",0,"23,262,124"
Arizona,2002,"30,083,389","24,364,809","25,523,515","19,804,935","14,420,322","5,718,580","31,862,626",0,"25,806,904"
Arizona,2004,"38,387,677","30,800,355","30,194,889","22,607,567","16,481,174","7,587,322","36,076,186",0,"30,079,931"
Arizona,2005,"41,056,844","32,818,343","33,559,127","25,320,626","18,143,242","8,238,501","39,457,745",0,"32,979,855"
Arizona,2006,"46,860,817","38,042,459","37,842,095","29,023,737","21,294,777","8,818,358","42,818,119","16,405","35,702,821"
Arizona,2007,"51,243,463","42,531,723","41,171,830","32,460,090","23,330,146","8,711,740","47,132,004",0,"39,255,603"
Arizona,2008,"47,110,986","37,414,508","42,269,617","32,573,139","22,432,455","9,696,478","52,383,683",0,"43,248,001"
Arizona,2009,"42,569,515","31,355,741","41,184,122","29,970,348","20,610,710","11,213,774","53,906,003",0,"43,797,596"
Arizona,2010,"54,098,791","40,484,271","42,598,102","28,983,582","20,116,176","13,614,520","53,431,950",0,"43,013,644"
Arizona,2011,"58,588,756","45,477,727","43,891,178","30,780,149","21,571,115","13,111,029","52,572,172",0,"42,733,176"
Arizona,2012,"51,485,552","40,132,567","43,390,677","32,037,692","22,123,994","11,352,985","51,103,967",0,"41,434,452"
Arizona,2013,"57,888,262","46,667,399","44,775,535","33,554,672","23,049,623","11,220,863","52,177,678",0,"42,173,900"
Arizona,2014,"59,764,108","48,167,371","44,764,215","33,167,478","22,557,095","11,596,737","53,732,114",0,"43,440,170"
Arizona,2015,"56,825,852","42,645,178","47,291,359","33,110,685","23,335,356","14,180,674","51,738,519",0,"41,486,266"
Arizona,2016,"59,058,409","44,157,545","50,455,305","35,554,441","25,023,736","14,900,864","56,101,988",0,"45,852,942"
Arizona,2017,"67,393,403","51,403,121","52,870,832","36,880,550","25,919,518","15,990,282","58,618,709",0,"48,322,976"
Arizona,2018,"69,768,900","53,133,769","55,091,013","38,455,882","27,455,713","16,635,131","61,219,128",0,"49,969,427"
New Hampshire,2000,"6,948,035","5,885,715","5,754,756","4,692,436","3,278,375","1,062,320","6,222,433",0,"5,663,818"
New Hampshire,2002,"6,728,627","5,432,698","6,405,833","5,109,904","3,598,862","1,295,929","7,065,915",0,"6,343,015"
New Hampshire,2004,"8,275,269","6,703,010","7,012,152","5,439,893","4,055,208","1,572,259","8,230,081",0,"7,433,014"
New Hampshire,2005,"8,910,504","7,285,332","7,699,898","6,074,726","4,308,406","1,625,172","8,679,489",0,"7,851,829"
New Hampshire,2006,"9,379,379","7,728,154","8,090,222","6,438,997","4,516,808","1,651,225","9,027,582","8,603","8,152,522"
New Hampshire,2007,"10,358,201","8,675,577","8,542,486","6,859,862","4,741,977","1,682,624","9,409,300",0,"8,462,928"
New Hampshire,2008,"9,662,074","7,916,053","8,926,184","7,180,163","4,962,008","1,746,021","9,962,854",0,"8,922,532"
New Hampshire,2009,"9,122,124","7,249,684","9,136,988","7,264,548","5,034,383","1,872,440","10,563,740",0,"9,331,042"
New Hampshire,2010,"11,580,781","9,256,173","9,837,217","7,512,609","5,200,788","2,324,608","11,439,436",0,"9,955,056"
New Hampshire,2011,"12,160,459","10,028,307","9,742,205","7,610,053","5,266,071","2,132,152","11,662,187",0,"10,260,956"
New Hampshire,2012,"10,925,621","9,061,714","9,491,263","7,627,356","5,283,475","1,863,907","11,033,462",0,"9,711,409"
New Hampshire,2013,"12,670,502","10,830,424","10,272,180","8,432,102","5,918,088","1,840,078","11,024,914",0,"9,652,495"
New Hampshire,2014,"12,737,631","10,681,893","10,306,985","8,251,247","5,742,143","2,055,738","11,218,229",0,"9,753,835"
New Hampshire,2015,"12,445,892","10,304,688","10,840,106","8,698,902","6,213,217","2,141,204","11,588,223",0,"10,183,702"
New Hampshire,2016,"12,702,773","10,365,232","11,240,712","8,903,171","6,448,739","2,337,541","12,251,373",0,"10,791,559"
New Hampshire,2017,"14,110,371","11,676,343","11,635,346","9,201,318","6,711,995","2,434,028","12,640,417",0,"11,120,331"
New Hampshire,2018,"14,607,358","12,104,343","12,264,751","9,761,735","7,191,228","2,503,016","12,981,784",0,"11,399,774"
New Jersey,2000,"62,331,238","54,448,622","51,504,390","43,621,774","32,837,939","7,882,616","54,590,246","78,416","47,308,918"
New Jersey,2002,"54,835,385","45,886,413","55,255,668","46,306,696","34,628,804","8,948,972","64,289,465","79,072","54,466,508"
New Jersey,2004,"75,527,008","65,363,378","62,037,099","51,873,469","39,558,277","10,163,630","74,335,925",0,"62,991,483"
New Jersey,2005,"79,125,811","68,498,986","67,752,067","57,125,242","43,871,003","10,626,825","78,521,937",0,"67,154,120"
New Jersey,2006,"85,471,684","73,796,825","73,378,451","61,703,592","47,307,678","11,674,859","84,764,121","49,906","73,066,007"
New Jersey,2007,"95,272,919","83,494,596","78,608,712","66,830,389","51,424,849","11,778,323","87,062,210",0,"74,945,908"
New Jersey,2008,"85,940,600","74,442,907","81,316,841","69,819,148","53,784,348","11,497,693","91,701,630",0,"78,850,932"
New Jersey,2009,"75,279,085","62,628,702","80,325,978","67,675,595","51,518,985","12,650,383","96,676,621",0,"81,648,879"
New Jersey,2010,"99,750,649","83,981,898","83,227,316","67,458,565","51,090,728","15,768,751","102,667,354",0,"82,697,215"
New Jersey,2011,"105,234,452","89,990,873","84,884,915","69,641,336","53,226,134","15,243,579","101,283,266","19,000","81,636,378"
New Jersey,2012,"94,575,250","79,818,549","85,231,047","70,474,346","53,893,925","14,756,701","102,254,837","19,000","83,443,641"
New Jersey,2013,"106,530,965","91,449,769","88,720,898","73,639,702","56,287,481","15,081,196","103,454,241","19,000","85,033,628"
New Jersey,2014,"110,775,877","94,177,680","92,049,677","75,451,480","57,429,323","16,598,197","105,987,764","19,000","88,502,381"
New Jersey,2015,"106,468,656","87,869,485","96,319,232","77,720,061","59,660,949","18,599,171","107,297,024","19,000","90,710,228"
New Jersey,2016,"103,801,977","85,636,580","96,729,909","78,564,512","59,992,011","18,165,397","109,938,633","13,000","92,695,629"
New Jersey,2017,"116,299,421","98,212,111","99,817,172","81,729,862","63,055,846","18,087,310","109,955,168","16,500","92,352,034"
