"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"473",2013,"Idaho Public Employee Retirement System","Idaho","0.0869","0.0869","Entry Age Normal","0.853","12053500000","12079892855","12386849690","14172900000",NA,"295500000","0.97",NA,NA,"Level Percent Open","-687987190","651466000","0","-6308487",NA,"Market Value","2697600000","184663426","0.0703","285440880",NA,"72958000","0.1136",NA,NA,2014,NA,"0.075","0.075","13.0","0.0375","0.042","470093160","0.1419",NA,NA,NA,"Plan covers state and local employees","2074100000","0.0375"
"474",2014,"Idaho Public Employee Retirement System","Idaho","0.1677","0.1677","Entry Age Normal","0.929","13833100000","13864941482","14217115797","14928100000","14569300000","325000000","0.95692",NA,NA,"Level Percent Open","-729593630","694946000","0","-6787811",NA,"Market Value","2702900000","203900049","0.0703","310986280",NA,"79488000","0.1136",NA,NA,2015,NA,"0.075","0.07","5.0","0.0375","0.0405","514877250","0.1434",NA,NA,NA,"Plan covers state and local employees","1052300000","0.0375"
"475",2015,"Idaho Public Employee Retirement System","Idaho","0.027","0.027","Entry Age Normal","0.904","13956700000","13991245572","14420529072","15488200000","15273500000","327101970","0.98208",NA,NA,"Level Percent Open","-771067750","754201000","28355000","-6434462",NA,"Market Value","2791100000","212104025","0.0703","321240630",NA,"82109000","0.1136",NA,NA,2016,NA,"0.075","0.07","17.0","0.0375","0.0401","532709440","0.1438",NA,NA,NA,"Plan covers state and local employees","1490200000","0.0375"
"476",2016,"Idaho Public Employee Retirement System","Idaho","0.018","0.0178","Entry Age Normal","0.863","13884200000","13920706541","14341724329","16128300000","15911317335","297262340","1.12897",NA,NA,"Level Percent Open","-825012750","793277000","32308000","-6806655",NA,"Market Value","2909300000","220866936","0.0703","335610090",NA,"85916000","0.1138",NA,NA,2017,NA,"0.075","0.07","36.0","0.0375","0.0354","556477060","0.1487",NA,NA,NA,"Plan covers state and local employees","2206100000","0.0375"
"477",2017,"Idaho Public Employee Retirement System","Idaho","0.127","0.1267","Entry Age Normal","0.896","15296700000","15335945863","15794059775","17101000000","16868510591","337200000","1.05694",NA,NA,"Level Percent Open","-865271690","836201000","34000000","-8810136",NA,"Market Value","3089600000","237032666","0.0703","356367380",NA,NA,"0.1139",NA,NA,2018,NA,"0.075","0.07","16.0","0.0375","0.0359","593400060","0.1483",NA,NA,NA,"Plan covers state and local employees","1766600000","0.0375"
"478",2018,"Idaho Public Employee Retirement System","Idaho","0.087","0.0841","Entry Age Normal","0.912","16274800000","16315900466","16274800000","17889000000","17749847910","388341500","0.95055",NA,NA,"Level Percent Open","-909713250","884827000","35000000","-8922335",NA,"Market Value","3200400000","243950654","0.0704","369139130",NA,"99000000000","0.1138",NA,NA,2019,NA,"0.0705","0.07","16.0","0.0375","0.0348","613089750","0.1494",NA,NA,NA,"Plan covers state and local employees","1580100000",NA
"479",2019,"Idaho Public Employee Retirement System","Idaho","0.084","0.0802","Entry Age Normal","0.925","17239500000","17281432999","17239500000","18661700000","18380933618","382640380","1.01945",NA,NA,"Level Percent Open","-975232880","922112000","36498933","-9276642",NA,"Market Value","3382100000","257060511","0.0743","390080910",NA,NA,"0.1199",NA,NA,2020,NA,"0.0705","0.07","10.0","0.0375","0.0451","647141440","0.1491",NA,NA,NA,"Plan covers state and local employees","1391200000",NA
"480",2020,"Idaho Public Employee Retirement System","Idaho","0.0271","0.0271","Entry Age Normal","0.876","17392100000","17433390415","17944029418","19882500000","19714192796","392341000","1.09761",NA,NA,"Level Percent Open","-1012558100","884827000","35768143","-10179831",NA,"Market Value","3546000000","281641019","0.0743","430638160",NA,NA,"0.1199",NA,NA,2021,NA,"0.07","0.07","20.0","0.0375","0.0449","711428750","0.1493",NA,NA,NA,"Plan covers state and local employees","2463400000",NA
"481",2001,"Illinois Municipal Employees Retirement System","Illinois","-0.063","0.08","Entry Age Normal","1.064","16305022000","14966189931",NA,"15318517575",NA,"313007639","1",NA,NA,"Level Percent Closed","-570548560","529795060","-27507629","-18470775",NA,"5-year smoothed market","4503092615","216150677","0.045","313007630",NA,"0","0.0622",NA,NA,2003,NA,"0.075","0.075","29.0","0.04","-0.0144","529158310","0.1216",NA,NA,NA,"Plan covers state and local employees","-986504679",NA
"482",2002,"Illinois Municipal Employees Retirement System","Illinois","-0.091","0.037","Entry Age Normal","1.015","16800196000","13500715220",NA,"16559907302",NA,"294935422","1",NA,NA,"Level Percent Closed","-613606500","575007000","-36641773","-18727801",NA,"5-year smoothed market","4755103888","233935559","0.045","294935440",NA,"0","0.0782",NA,NA,2004,NA,"0.075","0.075","28.0","0.04","0.0022","528871000","0.121",NA,NA,NA,"Plan covers state and local employees","-240288202",NA
"483",2003,"Illinois Municipal Employees Retirement System","Illinois","0.221","0.051","Entry Age Normal","0.976","17529890000","16356828291",NA,"17966103451",NA,"321049839","1",NA,NA,"Level Percent Closed","-668534250","632169630","-29186748","-18785811",NA,"5-year smoothed market","4944767495","255498279","0.045","321049840",NA,"0","0.0925",NA,NA,2005,NA,"0.075","0.075","27.0","0.04","0.0164","576548130","0.1211",NA,NA,NA,"Plan covers state and local employees","436212633",NA
"484",2004,"Illinois Municipal Employees Retirement System","Illinois","0.123","0.048","Entry Age Normal","0.943","18315988000","18299303729",NA,"19424667016",NA,"456198098","1",NA,NA,"Level Percent Closed","-733376810","691694130","-31156293","-19405566",NA,"5-year smoothed market","5161127432","259505532","0.045","456198090",NA,"0","0.0925",NA,NA,2006,NA,"0.075","0.075","26.0",NA,"0.0161","715703630","0.1214",NA,NA,NA,"Plan covers state and local employees","1108679106","0.04"
"485",2005,"Illinois Municipal Employees Retirement System","Illinois","0.081","0.076","Entry Age Normal","0.946","19698402000","19872769402",NA,"20815060842",NA,"543263475","1",NA,NA,"Level Percent Closed","-791333690","749427310","-32120791","-19650439",NA,"5-year smoothed market","5374585943","265568535","0.045","543263500",NA,"0","0.0972",NA,NA,2007,NA,"0.075","0.075","25.0",NA,"0.0229","808832000","0.1193",NA,NA,NA,"Plan covers state and local employees","1116659557","0.04"
"486",2006,"Illinois Municipal Employees Retirement System","Illinois","0.135","0.088","Entry Age Normal","0.953","21427140000","22507609438",NA,"22488185031",NA,"602775795","1",NA,NA,"Level Percent Closed","-856205630","814682380","-40095035","-20339189",NA,"5-year smoothed market","5630683054","280997170","0.045","602775810",NA,"0","0.0947",NA,NA,2008,NA,"0.075","0.075","24.0",NA,"0.0205","883772940","0.1192",NA,NA,NA,"Plan covers state and local employees","1061045675","0.04"
"487",2007,"Illinois Municipal Employees Retirement System","Illinois","0.081","0.089","Entry Age Normal","0.961","23274362000","24223494916",NA,"24221543716",NA,"600822135","1",NA,NA,"Level Percent Closed","-924005810","885794000","-36206949","-20811398",NA,"5-year smoothed market","5931443117","296690070","0.045","600822130",NA,"0","0.0927",NA,NA,2009,NA,"0.075","0.075","23.0",NA,"0.0185","897512190","0.1192",NA,NA,NA,"Plan covers state and local employees","947182518","0.04"
"488",2008,"Illinois Municipal Employees Retirement System","Illinois","-0.253","-0.068","Entry Age Normal","0.843","21601054000","18022054523",NA,"25611199349",NA,"631147476","1",NA,NA,"Level Percent Open","-997492130","956681810","-31926119","-20727535",NA,"5-year smoothed market","6259283197","314019939","0.045","631147500",NA,"0","0.1189",NA,NA,2010,NA,"0.075","0.075","30.0",NA,"0.0431","945167440","0.1208",NA,NA,NA,"Plan covers state and local employees","4010145837","0.04"
"489",2009,"Illinois Municipal Employees Retirement System","Illinois","0.245","0.059","Entry Age Normal","0.832","22754804000","22302838775",NA,"27345113216",NA,"660399408","1",NA,NA,"Level Percent Open","-1077852500","1038448800","-27426078","-21967309",NA,"5-year smoothed market value. 20% corridor.","6461696602","324070795","0.045","660399440",NA,"0","0.1214",NA,NA,2011,NA,"0.075","0.075","30.0",NA,"0.0456","984470190","0.1208",NA,NA,NA,"Plan covers state and local employees","4590309432","0.04"
"490",2010,"Illinois Municipal Employees Retirement System","Illinois","0.133","0.071","Entry Age Normal","0.833","24251136000","25141888783",NA,"29129228239",NA,"770142278","0.91",NA,NA,"Level Percent Open","-1178030500","1144162300","-32201576","-22318492",NA,"5-year smoothed market value. 20% corridor.","6391164701","324901985","0.045","770142250",NA,"0","0.1242",NA,NA,2012,NA,"0.075","0.075","30.0",NA,"0.0484","1095044300","0.1208",NA,NA,NA,"Plan covers state and local employees","4878091350","0.04"
"491",2011,"Illinois Municipal Employees Retirement System","Illinois","-0.004","0.068","Entry Age Normal","0.83","25711288000","24837061047",NA,"30962815428",NA,"800804253","0.9500000000000001",NA,NA,"Level Percent Closed","-1284405600","1250503500","-32900105","-23086713",NA,"5-year smoothed market value. 20% corridor.","6431296235","327680889","0.045","800804250",NA,"0","0.1285",NA,NA,2013,NA,"0.075","0.075","30.0",NA,"0.0508","1128485100","0.1227",NA,NA,NA,"Plan covers state and local employees","5251527844","0.04"
"492",2012,"Illinois Municipal Employees Retirement System","Illinois","0.136","0.078","Entry Age Normal","0.843","27491810000","27996327263",NA,"32603244099",NA,"883216281","0.98",NA,NA,"Level Percent Closed","-1389815500","1354404000","-34142191","-24508053",NA,"5-year smoothed market value. 20% corridor.","6496076569","330814542","0.045","883216250",NA,"0","0.1258",NA,NA,2014,NA,"0.075","0.075","29.0",NA,"0.0494","1214030900","0.1214",NA,NA,NA,"Plan covers state and local employees","5111434314","0.04"
"493",2013,"Illinois Municipal Employees Retirement System","Illinois","0.197","0.105","Aggregate","0.876","30083042000","33283577539","33203014332","34356600000",NA,"930969056","0.9899999999999999",NA,NA,"Level Percent Closed","-1503374100","1472091600","-36944215","-25463299",NA,"5-year smoothed market value. 20% corridor.","6602500000","338934421","0.045","930969060",NA,"0","0.1169",NA,NA,2015,NA,"0.075","0.075","28.0",NA,"0.0418","1269903500","0.1201",NA,NA,NA,"Plan covers state and local employees","4273600000.0000005","0.04"
"494",2014,"Illinois Municipal Employees Retirement System","Illinois","0.061","0.101","Entry Age Normal","0.873","32700208000","34867045845","34833147358","37465100000",NA,"923382810","1.0",NA,NA,"Level Percent Closed","-1626821300","1602356400","-39191090","-26431652",NA,"5-year smoothed market value. 20% corridor.","6732500000","351089445","0.045","923382810",NA,"0","0.1173",NA,NA,2016,NA,"0.075","0.075","27.0",NA,"0.0489","1274472300","0.1134",NA,NA,NA,"Plan covers state and local employees","4764900000","0.035"
"495",2015,"Illinois Municipal Employees Retirement System","Illinois","0.005","0.085","Entry Age Normal","0.884","34913128000","34513078411","34461065824","39486600000",NA,"900476880","1.0",NA,NA,"Level Percent Closed","-1758184400","1740986300","-36748508","-28707980",NA,"5-year smoothed market value. 20% corridor.","6919300000","368010920","0.045","900476880",NA,"0","0.1134",NA,NA,2017,NA,"0.075","0.075","26.0",NA,"0.0463","1268482100","0.1121",NA,NA,NA,"Plan covers state and local employees","4573500000","0.035"
"496",2016,"Illinois Municipal Employees Retirement System","Illinois","0.076","0.072","Entry Age Normal","0.889","36773400000","36514897799","36446780265","41358700000",NA,"933937310","1.0",NA,NA,"Level Percent Closed","-1902139900","1879047600","-37690098","-37550066",NA,"5-year smoothed market value. 20% corridor.","7006700000","380379655","0.045","933937310",NA,"0","0.1124",NA,NA,2018,NA,"0.075","0.075","25.0",NA,"0.0463","1314322400","0.1111",NA,NA,NA,"Plan covers state and local employees","4585300000","0.035"
"497",2017,"Illinois Municipal Employees Retirement System","Illinois","0.157","0.088","Entry Age Normal","0.929","39187800000","41413165479","41312666221","42179500000","41358710402","903482000","1.0",NA,NA,"Level Percent Closed","-2043613600","2024041500","-42552059","-31031320",NA,"5-year smoothed market value. 20% corridor.","7127500000","393504075","0.045","903482000",NA,NA,"0.0906",NA,NA,2019,NA,"0.075","0.075","24.0","0.025","0.0345","1297229900","0.1011",NA,NA,NA,"Plan covers state and local employees","2991700000","0.0325"
"498",2018,"Illinois Municipal Employees Retirement System","Illinois","-0.041","0.065","Entry Age Normal","0.9","40830000000","38751070403","38755630459","45354100000","42179482656","946000000","1.0",NA,NA,"Level Percent Closed","-2194961500","2173111000","-48028754","-32213168",NA,"5-year smoothed market value. 20% corridor.","7321500000","413856331","0.045","947568810",NA,"0","0.1091",NA,NA,2020,NA,"0.0725","0.0725","23.0","0.025","0.0493","1361470500","0.1048",NA,NA,NA,"Plan covers state and local employees","4524100000","0.0325"
"499",2019,"Illinois Municipal Employees Retirement System","Illinois","0.192","0.082","Entry Age Normal","0.907","42936200000","45049976239","44923481136","47357900000","94542752","779000000",NA,NA,NA,"Level Percent Closed","-2347237000","2321645800","-51372047","-38373543",NA,"5-year smoothed market value. 20% corridor.","7547500000","437887784","0.045","780149690",NA,NA,"0.1062",NA,NA,2021,NA,"0.0725","0.0725","22.0","0.025","0.0476","1218080600","0.1036",NA,NA,NA,"Plan covers state and local employees","4421700000","0.0325"
"500",2020,"Illinois Municipal Employees Retirement System","Illinois","0.146","0.1","Entry Age Normal","0.941","46017400000","50571922447",NA,"48922900000","99297473","926000000",NA,NA,NA,"Level Percent Closed","-2494317300","2473142500","-52178125","-31776955",NA,"5-year smoothed market value. 20% corridor.","7568200000","449714461","0.045","927591630",NA,NA,"0.0859",NA,NA,2022,NA,"0.0725","0.0725","21.0",NA,"0.0337","1377316300","0.0972",NA,NA,NA,"Plan covers state and local employees","2905500000",NA
"501",2001,"Illinois State Employees Retirement System","Illinois","-0.071",NA,"Projected Unit Credit","0.6583","8276661000","8276661352",NA,"12572240145",NA,"294351538","1.2429999999999999",NA,NA,"Level Percent Open","-537591750","537592000","-17012242","-7140280",NA,"Fair value","3564441000","173778661","0.04619","366028940",NA,"366029000","0.12347",NA,NA,2003,NA,"0.085","0.085","40.0","0.04","0.06633","539807630","0.10334","388756660",NA,NA,"Plan covers state employees","4295578793","0.04"
"502",2002,"Illinois State Employees Retirement System","Illinois","-0.069",NA,"Projected Unit Credit","0.537","7673893000","7673892691",NA,"14291044457",NA,"306509801","1.26",NA,NA,"Level Percent Open","-617918500","617918000","-14147218","-7623565",NA,"Fair value","3713020000","196915424","0.05285","386116590",NA,"386117000","0.16754",NA,NA,2004,NA,"0.085","0.085","40.0","0.04","0.10193","583032000","0.11847","441364060",NA,NA,"Plan covers state employees","6617151766","0.04"
"503",2003,"Illinois State Employees Retirement System","Illinois","0.003",NA,"Projected Unit Credit","0.4264","7502111000","7502111416",NA,"17593980039",NA,"449348569","0.8809999999999999",NA,NA,"Level Percent Open","-831486630","831487000","-28369787","-8221236",NA,"Fair value","3639334000","285209344","0.05759","396067250",NA,"396067000","0.2093",NA,NA,2005,NA,"0.085","0.085","40.0","0.04","0.15478","681276560","0.11211","395750060",NA,NA,"Plan covers state employees","10091868623","0.04"
"504",2004,"Illinois State Employees Retirement System","Illinois","0.164",NA,"Projected Unit Credit","0.5417","9990187000","9990186874",NA,"18442664834",NA,"576219951","0.831",NA,NA,"Level Percent Open","-978201000","978201000","-12442600","-7693348",NA,"Fair value","3439251000","199826465","0.05704","478778130",NA,"1864673000","0.18826","1385895300",NA,2006,NA,"0.085","0.085","40.0","0.04","0.12515","2064499900","0.12015","420923310",NA,NA,"Plan covers state employees","8452477960","0.04"
"505",2005,"Illinois State Employees Retirement System","Illinois","0.101",NA,"Projected Unit Credit","0.5436","10494147000","10494147953",NA,"19304646648",NA,"727428010","0.588",NA,NA,"Level Percent Open","-1063970400","1063970000","-14105301","-8311269",NA,"Fair value","3475528000","209334207","0.05689","427434630",NA,"427435000","0.18826",NA,NA,2006,NA,"0.085","0.085","40.0","0.04","0.12174","636768810","0.12341","432329190",NA,NA,"Plan covers state employees","8810498695","0.04"
"506",2006,"Illinois State Employees Retirement System","Illinois","0.11",NA,"Projected Unit Credit","0.5222","10899853000","10899853065",NA,"20874541910",NA,"672555569","0.313",NA,NA,"Level Percent Open","-1110586000","1110586000","-13410048","-8139278",NA,"Fair value","3572541000","214108896","0.05708","210499800",NA,"210500000","0.21898",NA,NA,2007,NA,"0.085","0.085","40.0","0.04","0.12729","424608690","0.14877","533531880",NA,NA,"Plan covers state employees","9974688845","0.04"
"507",2007,"Illinois State Employees Retirement System","Illinois","0.171",NA,"Projected Unit Credit","0.5421","12078909000","12078908954",NA,"22280916665",NA,"823802760","0.436",NA,NA,"Level Percent Open","-1161291000","1161291000","-14261872","-8807627",NA,"Fair value","3762000000","224722599","0.05876","358786660",NA,"357787000","0.24861",NA,NA,2008,NA,"0.085","0.085","30.0","0.04","0.15635","583509250","0.15102","566848880",NA,NA,"Plan covers state employees","10202007711","0.04"
"508",2008,"Illinois State Employees Retirement System","Illinois","-0.062",NA,"Projected Unit Credit","0.4612","10995366000","10995366485",NA,"23841280102",NA,"986410891","0.596","1091385000","0.26535","Level Percent Open","-1214115600","1214116000","-16817434","-9537305",NA,"Fair value","3967704000","249955208","0.05966","587732440",NA,"587732000","0.24916",NA,NA,2009,NA,"0.085","0.085","30.0","0.04","0.15682","837687630","0.152","597362500",NA,NA,"Plan covers state employees","12845913617","0.04"
"509",2009,"Illinois State Employees Retirement System","Illinois","-0.1956","0.0289","Projected Unit Credit","0.4348","10999954000","8477852088",NA,"25298346092",NA,"1003432849","0.772","1193343000","0.28452","Level Percent Open","-1300213600","1318356000","-14859487","-10681376",NA,"5-year smoothed market value.","4027263000","242227432","0.04973","774910380",NA,"774910000","0.24916",NA,NA,2010,NA,"0.085","0.085","30.0","0.04","0.16862","1017137800","0.13027","614630250",NA,NA,"Plan covers state employees","14298392565","0.04"
"510",2010,"Illinois State Employees Retirement System","Illinois","0.0948","0.0034","Projected Unit Credit","0.374","10961540000","9201830655",NA,"29309464296",NA,"1177313343","0.9309999999999999","1368577000","0.32252","Level Percent Open","-1390641300","1407980800","-15274174","-11720755",NA,"5-year smoothed market value.","4119360892","246172971","0.05794","1095545900",NA,"1095546000","0.2858",NA,NA,2011,NA,"0.0775","0.0775","30.0","0.04","0.1692","1341718900","0.17454","718972190",NA,NA,"Plan covers state employees","18347924132","0.04"
"511",2011,"Illinois State Employees Retirement System","Illinois","0.2116","0.033","Projected Unit Credit","0.3555","11159837000","10970752686",NA,"31395007782",NA,"1289002005","0.875","1577836000","0.36116","Level Percent Open","-1492063600","1512859100","-37575930","-13734961",NA,"5-year smoothed market value.","4211186269","254201379","0.05714","1127886800",NA,"1127887000","0.30609",NA,NA,2012,NA,"0.0775","0.0775","30.0","0.04","0.17079","1382088100","0.19244","810392630",NA,NA,"Plan covers state employees","20235171165","0.04"
"512",2012,"Illinois State Employees Retirement System","Illinois","0.033","0.0299","Projected Unit Credit","0.3468","11477264000","10960687824",NA,"33091186194",NA,"1614834808","0.862","1662667000","0.38435","Level Percent Open","-1627373600","1687717400","-23500324","-15705561",NA,"5-year smoothed market value.","4329083716","259122881","0.05662","1391416400",NA,"1391416000","0.37302",NA,NA,2013,NA,"0.0775","0.0775","30.0","0.04","0.24495","1650539300","0.18468","799504500",NA,NA,"Plan covers state employees","21613921865","0.04"
"513",2013,"Illinois State Employees Retirement System","Illinois","0.1374","0.0403","Projected Unit Credit","0.3421","11877419000","12400300474","12400300474","34720764557",NA,"1741286416","0.88","1748430000","0.40472","Level Percent Open","-1799985600","1824694600","-24290402","-17471326",NA,"5-year smoothed market value.","4236191257","248169706","0.05694","1531932100",NA,"1456372000","0.41105",NA,NA,2015,NA,"0.0775","0.0775","30.0","0.015","0.28097","1780101900","0.18702","792270190",NA,NA,"Plan covers state employees","22843345661","0.03"
"514",2014,"Illinois State Employees Retirement System","Illinois","0.1749","0.12","Projected Unit Credit","0.3369","13315613000","14581566241","14581566241","39526844967","41685086183","1956841400","0.86847","2044877000","0.4388","Level Percent Open","-1917062600","1948949400","-23082814","-16615105",NA,"5-year smoothed market value.","4416152691","269232241","0.05399","1699447900",NA,"1699448000","0.44311",NA,NA,2016,NA,"0.0725","0.0725","30.0","0.015","0.28772","1968680100","0.20938","924649630",NA,NA,"Plan covers state employees","26211232232","0.03"
"515",2015,"Illinois State Employees Retirement System","Illinois","0.0467","0.1074","Projected Unit Credit","0.3618","14741736000","15258866572","15258866572","40743410217","43267055628","2045354300","0.88216","2014461000","0.42805","Level Percent Closed","-2034858400","2069298500","-23128975","-16547822",NA,"5-year smoothed market value.","4453683664","266139156","0.05706","1804319400",NA,"1804319000","0.45231",NA,NA,2017,NA,"0.0725","0.0725","30.0","0.015","0.30533","2070458500","0.20404","908720380",NA,NA,"Plan covers state employees","26001674152","0.03"
"516",2016,"Illinois State Employees Retirement System","Illinois","-0.0082","0.0671","Projected Unit Credit","0.3435","15632604000","15038528150","15038528150","45515370479","49183947656","2019691300","0.93195","2327649000","0.52095","Level Percent Closed","-2190502300","2024380500","-26708730","-16126997",NA,"5-year smoothed market value.","4284362301","256198172","0.05943","1882243300",NA,"1882243000","0.54329",NA,NA,2018,NA,"0.07","0.07","29.0","0.0325","0.38493","2138441500","0.21779","933080690",NA,NA,"Plan covers state employees","29882766305","0.0325"
"517",2017,"Illinois State Employees Retirement System","Illinois","0.1219","0.0806","Projected Unit Credit","0.3546","16558874000","16530179792","16530179792","46701348277","49437205016","2129483000","0.8445","2165841000","0.49593","Level Percent Closed","-2328620800","2365081000","-26608012","-15957439",NA,"5-year smoothed market value.","4195777563","251610974","0.05437","1798348500",NA,NA,"0.5162",NA,NA,2019,NA,"0.07","0.07","28.0","0.0325","0.35682","2049959400","0.21374","896819940",NA,NA,"Plan covers state employees","30142474735","0.0325"
"518",2018,"Illinois State Employees Retirement System","Illinois","0.0768","0.0758","Projected Unit Credit","0.3647","17478140000","17463278241","17463278241","47925682793","50519687332","2739377800","0.70424","2291249000","0.5215","Level Percent Closed","-2464832000","2498801000","-27469348","-15257526",NA,"5-year smoothed market value.","4243741707","254442466","0.05729","1929175000",NA,"1929175044000","0.53991",NA,NA,2020,NA,"0.07","0.07","27.0","0.03","0.3908","2183617500","0.2064","875926750",NA,NA,"Plan covers state employees","30447543215",NA
"519",2019,"Illinois State Employees Retirement System","Illinois","0.0642","0.0605","Projected Unit Credit","0.3782","18429186000","18491888652","18478303106","48731439198","51885938889","2995968300","0.75933","2348499000","0.52604","Level Percent Closed","-2601306500","2635943000","-24133508","-14978852",NA,"5-year smoothed market value.","4601378610","274320312","0.05412","2274925300",NA,NA,"0.51039",NA,NA,2021,NA,"0.0675","0.0675","26.0","0.0275","0.37562","2550600500","0.18889","869138250",NA,NA,"Plan covers state employees","30302253561",NA
"520",2020,"Illinois State Employees Retirement System","Illinois","0.0447","0.059","Projected Unit Credit","0.3867","19389500000","19197272352",NA,"50145830802","54065950445","2913649500","0.81304","2470303000","0.53889","Level Percent Closed","-2727820800","2754503500","-19366029","-17412563",NA,"5-year smoothed market value.","4523879064","271749009","0.05648","2368905500",NA,NA,"0.54606",NA,NA,2022,NA,"0.0675","0.0675","25.0","0.0275","0.40855","2640654500","0.19399","877588060",NA,NA,"Plan covers state employees","30756329852","0.0275"
"521",2001,"Illinois State University Retirement System","Illinois","-0.088",NA,"Projected Unit Credit","0.721","10753297000","10753297000",NA,"14915317000",NA,"326500000","0.7568147013782542",NA,NA,"Level Percent Open","-664792750","664841000","-45747094","-11185153",NA,"Market value","2474631000","221581520","0.0965","247146840",NA,"247147000","0.16696",NA,NA,2002,NA,"0.085",NA,"34.0",NA,"0.07883","468728380","0.18463","481366000",NA,NA,"Plan covers teachers","4162020000","0.05"
"522",2002,"Illinois State University Retirement System","Illinois","-0.061",NA,"Projected Unit Credit","0.5893","9814677000","9814677000",NA,"16654041000",NA,"436900000","0.5861753261615931",NA,NA,"Level Percent Open","-743267130","743267000","-37040371","-11868007",NA,"Market value","2607155000","250023800","0.08913","256124310",NA,"250024000","0.21623",NA,NA,2003,NA,"0.085",NA,"34.0",NA,"0.12413","506148130","0.18122","500799000",NA,NA,"Plan covers teachers","6839364000","0.04"
"523",2003,"Illinois State University Retirement System","Illinois","0.029",NA,"Projected Unit Credit","0.5389","9714547000","9714547000",NA,"18025032000",NA,"597500000","0.477489539748954",NA,NA,"Level Percent Open","-836661690","743270000","-32218803","-11913005",NA,"Market value","2763428000","246284770","0.08664","285263560",NA,"556569000","0.24555",NA,NA,2004,NA,"0.085",NA,"33.0",NA,"0.15057","531548310","0.18162","511088000",NA,NA,"Plan covers teachers","8310485000","0.04"
"524",2004,"Illinois State University Retirement System","Illinois","0.17",NA,"Projected Unit Credit","0.6597","12586305000","12586304663",NA,"19078583000",NA,"691000000","2.5434153400868307",NA,NA,"Level Percent Open","-915222500","899587810","-34453383","-11516494",NA,"Market value","2814071000","243823970","0.0857","325552690",NA,"1783316000","0.20679","1431994300",NA,2005,NA,"0.085","0.085","40.0",NA,"0.11458","2001370900","0.17792","522942000",NA,NA,"Plan covers teachers","6492278000","0.04"
"525",2005,"Illinois State University Retirement System","Illinois","0.104",NA,"Projected Unit Credit","0.656","13350278000","13350277629",NA,"20349922000",NA,"607800000","0.4695623560381704",NA,NA,"Level Percent Open","-1004452300","983321880","-35775984","-12087116",NA,"Market value","2939185000","251900000","0.08281","285423310",NA,"285423000","0.21678",NA,NA,2006,NA,"0.085","0.085","40.0",NA,"0.12106","537362880","0.17853","545241000",NA,NA,"Plan covers teachers","6999644000","0.04"
"526",2006,"Illinois State University Retirement System","Illinois","0.117",NA,"Projected Unit Credit","0.6536","14175147000","14175147236",NA,"21688935000",NA,"662000000","0.2719033232628399","477426000","0.1332","Level Percent Open","-1085383800","1067075300","-42620199","-11982284",NA,"Market value","3054100000","252900000","0.08249","180018080",NA,"180018000","0.22192",NA,NA,2007,NA,"0.085","0.085","40.0",NA,"0.12717","432939880","0.17724","563810000",NA,NA,"Plan covers teachers","7513788000","0.04"
"527",2007,"Illinois State University Retirement System","Illinois","0.183",NA,"Projected Unit Credit","0.6843","15985730000","15985730230",NA,"23362079000",NA,"705900000","0.3698824196061765","491216000","0.1288","Level Percent Open","-1177348100","1155125000","-41353883","-11704567",NA,"Market value","3180985000","262350838","0.08247","261142640",NA,"261143000","0.22094",NA,NA,2008,NA,"0.085","0.085","30.0",NA,"0.12401","523493470","0.1794","574511000",NA,NA,"Plan covers teachers","7376349000","0.0375"
"528",2008,"Illinois State University Retirement System","Illinois","-0.045",NA,"Projected Unit Credit","0.5854","14586325000","14586325455",NA,"24917678000",NA,"707500000","0.4874911660777385","744514000","0.1861","Level Percent Open","-1275713800","1254030800","-44984289","-12079244",NA,"Market value","3303220000","264149354","0.0789","344945250",NA,"344945000","0.25232",NA,NA,2009,NA,"0.085","0.085","30.0",NA,"0.16057","609094560","0.17065","591116000",NA,NA,"Plan covers teachers","10331353000","0.0375"
"529",2009,"Illinois State University Retirement System","Illinois","-0.2003","0.028","Projected Unit Credit","0.5427","14281998000","11032973403",NA,"26316231000",NA,"874000000","0.5167048054919908","888142000","0.2127","Level Percent Open","-1371990400","1351537600","-42651637","-12922070",NA,"5-year smoothed market value.","3463922000","273292053","0.07877","451617060",NA,"451617000","0.2874",NA,NA,2010,NA,"0.085","0.085","30.0",NA,"0.18559","724909130","0.18059","630436000",NA,NA,"Plan covers teachers","12034233000","0.0375"
