Table Name,Variable Label,Variable Name,WebName,Format/Unit of measure,Code
PensionInvestmentReturn,Reported Gross/Net investment Returns.  ,GrossReturns,,"0,1","gross returns (0), net returns (1)"
PensionInvestmentReturn,Geometric return since 2001.  ,GeoReturn_est,Avg. return since 2001,integer,
PensionInvestmentReturn,"10-year return, average",AvgReturn_10yr,"10-year return, average",$000s,
PensionInvestmentReturn,"3-year return, average",AvgReturn_3yr,"3-year return, average",$000s,
PensionInvestmentReturn,"5-year return, average",AvgReturn_5yr,"5-year return, average",$000s,
PensionInvestmentReturn,Estimated 10yr investment return,InvestmentReturn_10yr_est,,0-1,
PensionInvestmentReturn,Estimated 1yr investment return,InvestmentReturn_1yr_est,,0-1,
PensionInvestmentReturn,Estimated 5yr investment return,InvestmentReturn_5yr_est,,0-1,
PensionInvestmentReturn,Start Year for Long-term investment return.,InvestmentReturn_LTStartYear,,yyyy,
PensionMembership,Public Plans Database ID.  ,ppd_id,,0000-9999,
PensionMembership,Plan name.  ,PlanName,Plan name,text,
PensionMembership,Employee group id.  ,EEGroupID,,00-99,
PensionMembership,Tier id.  ,TierID,,00-99,
PensionMembership,Fiscal year.  ,fy,Fiscal year,yyyy,
PensionMembership,Data source.  ,source_membership,,text,
PensionMembership,Notes for Data Entry.  ,notes_membership,,text,
PensionMembership,Total number of actives.  ,actives_tot,Actives,integer,
PensionMembership,Total amount of active salaries (payroll).  ,ActiveSalaries,,$000s,
PensionMembership,Average age of actives.  ,ActiveAge_avg,,numeric,
PensionMembership,Average tenure of actives.  ,ActiveTenure_avg,,integer,
PensionMembership,Average salary of actives.  ,ActiveSalary_avg,Average Salary,$000s,
PensionMembership,Total number of inactive vested.  ,InactiveVestedMembers,,integer,
PensionMembership,Total number of inactive non-vested.  ,InactiveNonVested,,integer,
PensionMembership,Total number of beneficiaries.  ,Beneficiaries_tot,Beneficiaries,integer,
PensionMembership,Total annual benefit payments in year.  ,Benefits_tot,,$000s,
PensionMembership,Average age of beneficiaries.  ,BeneficiaryAge_avg,,integer,
PensionMembership,Average benefit of beneficiaries.  ,BeneficiaryBenefit_avg,Average Benefit,$000s,
PensionMembership,Total number of service retirees.  ,Beneficiaries_ServiceRetirees,,integer,
PensionMembership,Total benefits paid to service retirees.  ,Benefits_ServiceRetirees,,$000s,
PensionMembership,Average age of service retirees.  ,ServiceRetireeAge_avg,,integer,
PensionMembership,Average benefit paid to service retirees.  ,ServiceRetireeBenefit_avg,,$000s,
PensionMembership,Average age at retirement for service retirees.  ,ServiceRetAge_avg,,integer,
PensionMembership,Average tenure at retirement for service retirees.  ,ServiceRetTenure_avg,,integer,
PensionMembership,Total number of disability retirees.  ,Beneficiaries_DisabilityRetirees,,integer,
PensionMembership,Total benefits paid to disability retirees.  ,Benefits_DisabilityRetirees,,$000s,
PensionMembership,Total number of spousal survivor beneficiaries.  ,Beneficiaries_SpousalSurvivors,,integer,
PensionMembership,Total number of dependent survivor beneficiaries.  ,Beneficiaries_DependentSurvivors,,integer,
PensionMembership,Total number of survivor beneficiaries.  ,Beneficiaries_survivors,,integer,
PensionMembership,Total number of other beneficiaries.  ,Beneficiaries_other,,integer,
PensionMembership,Total DROP members.  ,DROPMembers,,integer,
PensionMembership,Other members.  ,OtherMembers,,integer,
PensionMembership,Total number of members.  ,TotMembership,Total Membership,integer,
PensionMembership,Estimated Average salary of actives (flag).  ,ActiveSalary_avg_est,Estimated Average Salary,"0,1","Estimated (1), Not estimated (0)"
PensionMembership,Estimated Average benefit of beneficiaries (flag).  ,BeneficiaryBenefit_avg_est,Estimated Average Benefit,"0,1","Estimated (1), Not estimated (0)"
PensionPlanBasics,Plan id.  ,ppd_id,,0000-9999,
PensionPlanBasics,Plan name.  ,PlanName,Plan name,text,
PensionPlanBasics,Data source.  ,source_PlanBasics,,text,
PensionPlanBasics,Notes for Data Entry.  ,notes_PlanBasics,,text,
PensionPlanBasics,Year of inception.  ,PlanInceptionYear,Inception Year,yyyy,
PensionPlanBasics,Closed plan.  ,PlanClosed,Plan Closed,"0,1",
PensionPlanBasics,Year of plan closing.  ,PlanYearClosed,Year plan closed,yyyy,
PensionPlanBasics,Administering Government.  ,AdministeringGovt,Administering Govt Level,"0,1,2,5","0-State, 1-County, 2-City, 5- School"
PensionPlanBasics,Abbrev. state name.  ,StateAbbrev,State,text,
PensionPlanBasics,Full state name.  ,StateName,,text,
PensionPlanBasics,Administrating jurisdiction.  ,GovtName,,text,
PensionPlanBasics,Plan Type.  ,PlanType,Plan Type,"1,2,3","1-PERS or ERS, 2- TRS, 3- Police/Fire/Safety, 4 - SERS, 5 - Local"
PensionPlanBasics,Type of employee covered by the plan.  ,EmployeeTypeCovered,,text,
PensionPlanBasics,An integral code for the Social Security coverage of the majority of plan members.  ,SocSecCovered,Soc. Sec. Coverage,"0,1","yes (1), no (0)"
PensionPlanBasics,Social Security coverage of plan members.  ,SocSecCovered_verbatim,,text,
PensionPlanBasics,Cost Structure.  ,CostStructure,Cost Structure,text,
PensionPlanBasics,Employer Type.  ,EmployerType,Employer Type,"1,2,3","1=single, 2=multiple, 3=multi"
PensionPlanBasics,Cost Sharing.  ,CostSharing,Cost Sharing,"0,1,2","0-Agency, 1-Cost Sharing, 2-Risk Pools"
PensionPlanBasics,Plan full name,PlanFullName,,,
PensionPlanBasics,Plan is in public funds survey.,InPFS,,0-1,"yes (1), no (0)"
PensionPlanBasics,Fiscal year type,FiscalYearType,,2-Jan,"1=mid-year, 2=year-end"
PensionPlanBasics,Listed in PPD directory,ppd_directory_listed,ppd_directory_listed,0-1,"yes (1), no (0)"
PensionPlanBasics,Website for benefit descriptions,BenefitsWebsite,,text,
PensionReportingDates,Public Plans Database ID.  ,ppd_id,,0000-9999,
PensionReportingDates,Plan name.  ,PlanName,Plan name,text,
PensionReportingDates,Employee group id.  ,EEGroupID,,00-99,
PensionReportingDates,Tier id.  ,TierID,,00-99,
PensionReportingDates,Fiscal year.  ,fy,Fiscal year,yyyy,
PensionReportingDates,Fiscal year end date.  ,fye,Fiscal Year End,mm/dd/yyyy,
PensionReportingDates,Date of Actuarial Valuation Report.  ,ActRptDate,Actuarial Valuation Date,mm/dd/yyyy,
PensionRetirementSystemBasics,System ID,system_id,Pension Plan System ID,0000-9999,
