"","year","plan_name","state","return_1yr","aal","mva","arr","payroll","payroll_growth_assumption","total_nc_pct","total_proj_adec_pct","total_benefit_payments"
"570",2019,"Indiana Public Employees Retirement Fund (PERF)*","Indiana",0.074,16576060167,13270996000,0.0675,5335373772,NA,0.03606,0.08516,-888512000
"571",2001,"Illinois Teachers Retirement System (TRS)*","Indiana",0.0083,13523825973,5810759564,0.075,3318877027,0,0.1046,0.1232,-580170330
"572",2002,"Illinois Teachers Retirement System (TRS)*","Indiana",-0.038,14664661236,5722753180,0.075,3609470436,0,0.1053,0.125,-594717533
"573",2003,"Illinois Teachers Retirement System (TRS)*","Indiana",0.0478,14747339056,6148027008,0.075,3585134913,0,0.0906,0.1896,-615973041
"574",2004,"Illinois Teachers Retirement System (TRS)*","Indiana",0.1507,15197925988,6754291554,0.075,3651653125,0,0.09,0.2012,-655329910
"575",2005,"Illinois Teachers Retirement System (TRS)*","Indiana",0.0926,16264893444,7179715874,0.075,3734329113,0,0.0925,0.2121,-723643179
"576",2006,"Illinois Teachers Retirement System (TRS)*","Indiana",0.1143,17365572132,7791423831,0.075,3802721221,0,0.0953,0.2225,-779693539
"577",2007,"Illinois Teachers Retirement System (TRS)*","Indiana",0.1817,18815812935,8980793999,0.075,4267995166,0,0.0874,0.0904,-897676227
"578",2008,"Illinois Teachers Retirement System (TRS)*","Indiana",-0.057,18750062742,8563959000,0.075,4348535867,0,0.0797,0.075,-950855000
"579",2009,"Illinois Teachers Retirement System (TRS)*","Indiana",-0.18,19162625560,7199138000,0.075,4339032221,0,0.0836,0.0907,-934296000
"580",2010,"Illinois Teachers Retirement System (TRS)*","Indiana",0.143,19896625065,8140769000,0.07,4312610704,0,0.0885,0.0945,-1017104000
"581",2011,"Illinois Teachers Retirement System (TRS)*","Indiana",0.18,20315242855,9121737000,0.07,4269943587,0,0.0985,0.105,-1210999000
"582",2012,"Illinois Teachers Retirement System (TRS)*","Indiana",0.007,20860323537,9077059000,0.0675,4232018389,0,0.0984,0.105,-1256938000
"583",2013,"Illinois Teachers Retirement System (TRS)*","Indiana",0.06,21211747412,9648879000,0.0675,4124367980,0,0.095,0.105,-1287439000
"584",2014,"Illinois Teachers Retirement System (TRS)*","Indiana",0.1373,21592209200,10691309000,0.0675,4262900000,0.03,0.0926,0.105,-1318852000
"585",2015,"Illinois Teachers Retirement System (TRS)*","Indiana",0,22923437362,10479023000,0.0675,4006156745,0,0.0657,0.105,-1437896000
"586",2016,"Illinois Teachers Retirement System (TRS)*","Indiana",0.0119,23231950475,10398759000,0.0675,4048265653,0,0.0973,0.105,-1391252000
"587",2017,"Illinois Teachers Retirement System (TRS)*","Indiana",0.08,23651006046,11069670000,0.0675,3965576667,0,0.08616,0.1052,-1385843000
"588",2018,"Illinois Teachers Retirement System (TRS)*","Indiana",0.093,20146452727,9163699000,0.0675,3953840301,0.03,0.08004,0.1053,-1394603000
"589",2019,"Illinois Teachers Retirement System (TRS)*","Indiana",0.074,20369590440,9883231000,0.0675,4011272776,NA,0.07992,0.1507,-1297706000
"590",2001,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",-0.0526,1274408446,1155055872,0.075,166087647,0,0,0.2614,-59174690
"591",2002,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",-0.0264,1354453231,1104502423,0.075,173140899,0,0,0.2988,-64342392
"592",2003,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.044,1429109638,1137102633,0.075,180390246,0,0,0.3432,-70325083
"593",2004,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.186,1511241555,1323691524,0.075,186919429,0,0,0.3761,-75703481
"594",2005,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.123,1600631755,1469753955,0.075,196143062,0,0,0.3715,-81014919
"595",2006,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.137,1717562019,1658428273,0.075,206385084,0,0,0.3488,-86278513
"596",2007,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.189,2010377000,1953613434,0.075,213039000,0,0,0.2815,-92620677
"597",2008,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",-0.021,2109111000,1885733999,0.075,223752000,0,0,0.2589,-101696125
"598",2009,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",-0.218,2216645000,1434583769,0.075,232872000,0,0,0.293,-107900926
"599",2010,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.107,2296382000,1534412575,0.075,242481000,0,0,0.3412,-114872516
"600",2011,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.231,2388494000,1829405667,0.075,248869000,0,0.1835,0.3552,-121745081
"601",2012,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.0033,2493849000,1785228513,0.075,258518000,0,0.1837,0.3952,-131742035
"602",2013,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.1284,2518229000,1964266618,0.075,258425000,0.04,0.1858,0.3981,-136695865
"603",2014,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.182,2640955176,2278456923,0.075,266265413,0,0.1874,0.3717,-142746505
"604",2015,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.031,2769994684,2300180355,0.075,273319323,0,0.1879,0.3532,-149160949
"605",2016,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.0022,2867807326,2242546392,0.075,283639887,0,0.1884,0.3508,-155634648
"606",2017,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.118,3023371171,2436896111,0.075,296237982,0,0.1895,0.3542,-162711268
"607",2018,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.076,3145031474,2549627987,0.075,302420313,0.03,0.1753,0.3381,-169188441
"608",2019,"Iowa Municipal Fire and Police Retirement System (MFPRSI)*","Iowa",0.0532,3269051818,2613125249,0.075,315937395,NA,0.1745,0.3471,-177276646
"609",2001,"Iowa Public Employees' Retirement System (PERS)*","Iowa",-0.0473,15553379000,15928547166,0.075,4550180000,0.04,0.0893,0.0945,-624259449
"610",2002,"Iowa Public Employees' Retirement System (PERS)*","Iowa",-0.0494,16868559000,14874419194,0.075,4743576000,0.04,0.0903,0.1046,-705767690
"611",2003,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.0559,17987375000,15403200907,0.075,4881100000,0.04,0.0906,0.1116,-736330878
"612",2004,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1378,19128411000,17249916851,0.075,5072028000,0.04,0.0909,0.1142,-792866773
"613",2005,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1125,20240099000,18767228779,0.075,5236861000,0.04,0.0912,0.1149,-868557596
"614",2006,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1111,21651122000,20404852110,0.075,5523863000,0.04,0.0905,0.1151,-924361399
"615",2007,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1629,23026113782,23217166663,0.075,5781706199,0.04,0.098,0.1202,-1013955902
"616",2008,"Iowa Public Employees' Retirement System (PERS)*","Iowa",-0.0133,24522216589,22370593645,0.075,6131445367,0.04,0.099,0.1234,-1096078230
"617",2009,"Iowa Public Employees' Retirement System (PERS)*","Iowa",-0.1627,26018593823,17974038026,0.075,6438643124,0.04,0.0997,0.1412,-1183097831
"618",2010,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1382,26468419650,19878079918,0.075,6571182005,0.04,0.0987,0.1371,-1278549652
"619",2011,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1991,28257080114,23082132935,0.075,6574872719,0.04,0.1016,0.1477,-1457005631
"620",2012,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.0373,29446197486,23243539810,0.075,6786158720,0.04,0.1017,0.1488,-1549167731
"621",2013,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1012,30498342320,24878705306,0.075,6880131134,0.04,0.1016,0.1488,-1667461828
"622",2014,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.1588,32004456088,28038549515,0.075,7099277280,0.04,0.1023,0.1488,-1764059107
"623",2015,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.0396,33370318731,28429834802,0.075,7326348141,0.04,0.1022,0.1488,-1744598297
"624",2016,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.0215,34619749147,28326433656,0.075,7556515720,0.04,0.102,0.1488,-1840734608
"625",2017,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.117,37440382029,30779116326,0.07,7863160443,0.0325,0.104,0.1573,-1943103208
"626",2018,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.0797,38642833653,32314588595,0.07,7983219527,0.0325,0.1049,0.1573,-2052427745
"627",2019,"Iowa Public Employees' Retirement System (PERS)*","Iowa",0.0835,39801338797,34010680731,0.07,8151043468,NA,0.1051,0.1573,-2160487353
"628",2001,"Kansas Public Employees' Retirement System (PERS)*","Kansas",-0.073,11140014000,9664667194,0.08,4876555000,0.04,0,0,-605358155
"629",2002,"Kansas Public Employees' Retirement System (PERS)*","Kansas",-0.047,11743052000,8902288000,0.08,5116384000,0.04,0.0847,0.16756,-684024629
"630",2003,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.04,12613599000,8930442322,0.08,4865903000,0.04,0.08468,0.16733,-707371378
"631",2004,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.154,14439546000,10427142572,0.08,4978132000,0.04,0.08238,0.1442,-736000188
"632",2005,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.121,15714092000,11324364904,0.08,5102016000,0.04,0.08436,0.16409,-799116269
"633",2006,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.123,16491762000,12352890468,0.08,5270351000,0.04,0.08437,0.16423,-869747612
"634",2007,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.1803,17552791000,14153819381,0.08,5599193000,0.04,0.08438,0.16439,-883715573
"635",2008,"Kansas Public Employees' Retirement System (PERS)*","Kansas",-0.0443,18984915000,13150603357,0.08,5949228000,0.04,0.08439,0.16449,-960917953
"636",2009,"Kansas Public Employees' Retirement System (PERS)*","Kansas",-0.1964,20106787000,10214875003,0.08,6226526000,0.04,0.08439,0.16447,-1016123815
"637",2010,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.149,21138206000,11352784329,0.08,6532496000,0.04,0.0843,0.16428,-1076200391
"638",2011,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.226,21853783000,13450070353,0.08,6494048000,0.04,0.07935,0.16811,-1163576145
"639",2012,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.01,22607170000,13086743385,0.08,6401462000,0.04,0.08317,0.1855,-1253103116
"640",2013,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.14,23531423000,14390235536,0.08,6494048000,0.04,0.08176,0.19461,-1304503091
"641",2014,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.184,24328670000,16535861630,0.08,6509809000,0.04,0.08236,0.19302,-1382100502
"642",2015,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.037,25130467000,16635520735,0.08,6560105000,0.04,0.08425,0.19129,-1459917666
"643",2016,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.007,25947781000,17192432371,0.08,6603613000,0.03,0.0833,0.17866,-1558908704
"644",2017,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.127,27317754373,18633840421,0.0775,6650451000,0.03,0.08168,0.19092,-1616195248
"645",2018,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.087,28153826989,19696209235,0.0775,6744301130,0.03,0.08081,0.18633,-1690887282
"646",2019,"Kansas Public Employees' Retirement System (PERS)*","Kansas",0.067,28153826989,20648053887,0.0775,7168557000,NA,0.08081,0.18633,-1758980913
"647",2001,"Kentucky County Employees Retirement System*","Kentucky",-0.0542,4900143000,5608502000,0.0825,1861674000,0,0.1174,0.12181,-226776000
"648",2002,"Kentucky County Employees Retirement System*","Kentucky",-0.0428,5492646000,5271105000,0.0825,2009033000,0,0.1181,0.10566,-260153000
"649",2003,"Kentucky County Employees Retirement System*","Kentucky",0.0428,5917227000,5344601000,0.0825,2171152000,0.05,0.11106,0.13996,-302849000
"650",2004,"Kentucky County Employees Retirement System*","Kentucky",0.1359,6577290000,5918347000,0.0825,2219434000,0.05,0.11326,0.1321,-342065000
"651",2005,"Kentucky County Employees Retirement System*","Kentucky",0.093,7180924000,6304846000,0.0825,2296397000,0.05,0.09872,0.15735,-384709000
"652",2006,"Kentucky County Employees Retirement System*","Kentucky",0.097,8199712000,6720222000,0.0775,2409365000,0.035,0.10293,0.1393,-426222000
"653",2007,"Kentucky County Employees Retirement System*","Kentucky",0.153,8868182305,7567871000,0.0775,2535847284,0.035,0.10187,0.13848,-481252000
"654",2008,"Kentucky County Employees Retirement System*","Kentucky",-0.0421,9707339786,7076717000,0.0775,2640853980,0.035,0.10132,0.15502,-529149000
"655",2009,"Kentucky County Employees Retirement System*","Kentucky",-0.1721,10491358112,5651570000,0.0775,2652927312,0.045,0.1009,0.16753,-590114000
"656",2010,"Kentucky County Employees Retirement System*","Kentucky",0.1581,11131174187,6327382000,0.0775,2703404040,0.045,0.1011,0.18287,-607059000
"657",2011,"Kentucky County Employees Retirement System*","Kentucky",0.1896,11777126077,7345309000,0.0775,2743559808,0.045,0.10042,0.194,-661884000
"658",2012,"Kentucky County Employees Retirement System*","Kentucky",0.0014,12149559743,7054572000,0.0775,2700775268,0.045,0.09819,0.20632,-693737000
"659",2013,"Kentucky County Employees Retirement System*","Kentucky",0.1082,12503081707,7629139000,0.0775,2697950056,0.045,0.09507,0.19631,-732900000
"660",2014,"Kentucky County Employees Retirement System*","Kentucky",0.1555,13061348369,8615149000,0.0775,2751434303,0.045,0.08748,0.37541,-772485000
"661",2015,"Kentucky County Employees Retirement System*","Kentucky",0.0201,14353632968,8519002000,0.075,2780356558,0.04,0.10155,0.1983,-815469000
"662",2016,"Kentucky County Employees Retirement System*","Kentucky",-0.0052,14780913017,8151573000,0.075,2845612315,0.04,0.10025,0.2484,-864695000
"663",2017,"Kentucky County Employees Retirement System*","Kentucky",0.1347,17452557000,8966821000,0.0575,2994040000,0.02,0.12285,0.35265,-914445000
"664",2018,"Kentucky County Employees Retirement System*","Kentucky",0.0857,17984053000,9447369000,0.0575,3000419000,0.02,0.1204,0.3625,-970687000
"665",2019,"Kentucky County Employees Retirement System*","Kentucky",0.0583,19601478000,9672588000,NA,3081213000,NA,NA,NA,-1025229000
"666",2001,"Kentucky Employees Retirement System (ERS)*","Kentucky",-0.0542,5729229055,5790108000,0.0825,1628157212,0,0.1019,0.09935,-299700000
"667",2002,"Kentucky Employees Retirement System (ERS)*","Kentucky",-0.0428,6348163928,5306991000,0.0825,1721085383,0,0.1017,0.07504,-355869000
"668",2003,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.0428,6877342321,5249832000,0.0825,1787693652,0.05,0.09954,0.10627,-418269000
"669",2004,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.1359,7453191207,5625563000,0.0825,1772077308,0.05,0.09982,0.13044,-476230000
"670",2005,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.093,8018088749,5760939000,0.0825,1787594376,0.05,0.09872,0.15735,-542891000
"671",2006,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.097,9503482151,5877163000,0.0775,1840978097,0.035,0.08762,0.20375,-601683000
"672",2007,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.153,10044931610,6283932000,0.0775,1925061513,0.035,0.08719,0.21339,-668715000
"673",2008,"Kentucky Employees Retirement System (ERS)*","Kentucky",-0.0421,10747700812,5541307000,0.0775,1986583548,0.035,0.09038,0.23664,-730658000
"674",2009,"Kentucky Employees Retirement System (ERS)*","Kentucky",-0.1721,11332961313,3973552000,0.0775,1900456488,0.045,0.09311,0.2641,-846069000
"675",2010,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.1581,11692944540,3948108000,0.0775,1958704332,0.045,0.09203,0.28767,-863423000
"676",2011,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.1896,11903435476,4055327000,0.0775,1864686540,0.045,0.09271,0.32406,-882881000
"677",2012,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.0014,12113747593,3453658000,0.0775,1776873435,0.045,0.09069,0.36175,-906575000
"678",2013,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.1082,12170582752,3275345000,0.0775,1776424066,0.045,0.08834,0.35542,-922761000
"679",2014,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.1555,12366960287,3139774000,0.0775,1706572485,0.045,0.08804,0.32554,-944257000
"680",2015,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.0201,13255106236,2880250000,0.075,1672914539,0.04,0.08448,0.42788,-962564000
"681",2016,"Kentucky Employees Retirement System (ERS)*","Kentucky",-0.0052,14161404553,2508172000,0.068,1676812330,0.04,0.09655,0.45352,-982594000
"682",2017,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.1347,16713061000,2698702000,0.0575,1693953000,0.02,0.12896,0.72805,-1009720000
"683",2018,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.0857,16827155000,2700062000,0.0575,1629690000,0.02,0.12674,0.75936,-1032990000
"684",2019,"Kentucky Employees Retirement System (ERS)*","Kentucky",0.0583,17692623000,2974502000,0.0575,1588093000,NA,0.12587,0.8226,-1057876000
"685",2001,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",-0.007,14642129000,12510407918,0.075,2213772000,0.04,0.17932,0.21558,-673987005
"686",2002,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",-0.041,15695574000,11762797320,0.075,2313663000,0.04,0.17981,0.22843,-739445182
"687",2003,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.048,16594781000,12042507830,0.075,2497731000,0.04,0.17837,0.23685,-817064668
"688",2004,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.097,17617626000,12919556587,0.075,2641533000,0.04,0.17794,0.25155,-885286089
"689",2005,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.075,19134870000,13519997946,0.075,2703430000,0.04,0.17632,0.26602,-963371539
"690",2006,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.054,20324781000,13851411411,0.075,2859477000,0.04,0.17016,0.27238,-1035606281
"691",2007,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.153,21254974000,15492518559,0.075,2975289000,0.04,0.17122,0.27847,-1106783879
"692",2008,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",-0.057,22460304000,14076692181,0.075,3190332000,0.04,0.16889,0.28851,-1170969101
"693",2009,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",-0.143,23400426000,11515364152,0.075,3253077000,0.04,0,0,-1252980407
"694",2010,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.131,24344316000,12456619082,0.075,3321614000,0.04,0,0,-1321808770
"695",2011,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.216,25968692000,15130606279,0.075,3451756000,0.04,0,0,-1402535713
"696",2012,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.024,26973854000,14797120889,0.075,3479567000,0.04,0,0,-1482939165
"697",2013,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.141,28817232000,16108808305,0.075,3480066000,0.04,0,0,-1570722924
"698",2014,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.181,30184404000,18092570615,0.075,3486327000,0.04,0.1644,0.37922,-1654375700
"699",2015,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.051,31149962000,18049130737,0.075,3515113000,0.04,0.16452,0.37913,-1741456095
"700",2016,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",-0.01,32028227000,16812831883,0.075,3537226000,0.04,0.14709,0.38952,-1833198630
"701",2017,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.1537,32819887000,18707699025,0.075,3563584000,0.04,0.14615,0.38641,-1918612128
"702",2018,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.1081,33795671000,19981633096,0.075,3605116000,0.035,0.14532,0.38729,-2004617334
"703",2019,"Kentucky Teachers' Retirement System (TRS)*","Kentucky",0.059,34676713000,20371909905,0.075,3648428000,NA,0.14543,0.39504,-2094364072
"704",2001,"Louisiana Municipal Police Retirement System*","Louisiana",0.111445493996143,1261057000,1195712371,0,181738000,0,0.2053,0.1866,-59414407
"705",2002,"Louisiana Municipal Police Retirement System*","Louisiana",0.0172434709966183,1384606000,1098224003,0,187568000,0,0,0,-67241501
"706",2003,"Louisiana Municipal Police Retirement System*","Louisiana",0.0384,1455791000,1106407469,0,197255000,0,0.19384,0.284310698509216,-71862749
"707",2004,"Louisiana Municipal Police Retirement System*","Louisiana",0.1287,1561739000,1229107445,0.07,208757000,0,0.17795,0.27501,-76534487
"708",2005,"Louisiana Municipal Police Retirement System*","Louisiana",0.0934,1552332000,1332281378,0.075,215639000,0,0.16214,0.22417,-82297800
"709",2006,"Louisiana Municipal Police Retirement System*","Louisiana",0.0872,1651056000,1417920469,0.075,223214000,0,0.16312,0.20695,-82988328
"710",2007,"Louisiana Municipal Police Retirement System*","Louisiana",0.1646,1719536371,1631957799,0.075,229145048,0,0.16391,0.16896,-87910584
"711",2008,"Louisiana Municipal Police Retirement System*","Louisiana",-0.0763,1841234995,1481936040,0.075,252562020,0,0.16208,0.18405,-92841073
"712",2009,"Louisiana Municipal Police Retirement System*","Louisiana",-0.2424,1988394358,1095572925,0.075,270236561,0,0.16119,0.32331,-96126722
"713",2010,"Louisiana Municipal Police Retirement System*","Louisiana",0.1237,2083809321,1187607835,0.075,280977278,0,0.15826,0.34665,-102296300
"714",2011,"Louisiana Municipal Police Retirement System*","Louisiana",0.235,2215674343,1454503372,0.075,273348634,0,0.16476,0.4052,-110405145
"715",2012,"Louisiana Municipal Police Retirement System*","Louisiana",-0.021,2313751839,1422460761,0.075,272606934,0,0.16489,0.5106,-114693248
"716",2013,"Louisiana Municipal Police Retirement System*","Louisiana",0.1081,2399375820,1620875223,0.075,264711491,0,0.16475,0.52528,-118731642
"717",2014,"Louisiana Municipal Police Retirement System*","Louisiana",0.179,2512627665,1887019463,0.075,259594435,0,0.16438,0.415,-127348774
"718",2015,"Louisiana Municipal Police Retirement System*","Louisiana",0.011,2676472766,1893077295,0.075,265089428,0,0.18202,0.4163,-140940357
"719",2016,"Louisiana Municipal Police Retirement System*","Louisiana",-0.028,2760140132,1822858397,0.075,281546022,0,0.17697,0.3114,-148169159
"720",2017,"Louisiana Municipal Police Retirement System*","Louisiana",0.133,2918064612,2045022309,0.07325,293792282,0,0.18453,0.3222,-151553474
"721",2018,"Louisiana Municipal Police Retirement System*","Louisiana",0.067,3007181318,2161775206,0.07325,294988865,0.03,0.1789,0.4055,-153089816
"722",2019,"Louisiana Municipal Police Retirement System*","Louisiana",0.0348,3132449454,2224281981,0.072,305445379,NA,0.18,0.4169,-159186593
"723",2001,"Louisiana Parochial Employee Retirement System*","Louisiana",-0.0048,1326740349,1332883308,0,352458011,0,0,0,-55516489
"724",2002,"Louisiana Parochial Employee Retirement System*","Louisiana",-0.0058,1313900000,1305000836,0,372814000,0,0,0,-58679169
"725",2003,"Louisiana Parochial Employee Retirement System*","Louisiana",-0.02373,1358628000,1515136770,0,396331000,0,0,0,-62550602
"726",2004,"Louisiana Parochial Employee Retirement System*","Louisiana",0.1033,1460244000,1687786620,0,407023000,0,0,0,-68424240
"727",2005,"Louisiana Parochial Employee Retirement System*","Louisiana",0.06492,1628328000,1813178730,0,429460000,0,0,0,-74519384
"728",2006,"Louisiana Parochial Employee Retirement System*","Louisiana",0.13121,1808517000,2054050276,0,420104000,0,0,0,-80361142
"729",2007,"Louisiana Parochial Employee Retirement System*","Louisiana",0.07885,2238456000,2232243917,0.075,517602000,0,0.08405,0.08432,-86337256
"730",2008,"Louisiana Parochial Employee Retirement System*","Louisiana",-0.255,2166079000,1676602091,0.075,586783000,0,0.08348,0.08376,-93565367
"731",2009,"Louisiana Parochial Employee Retirement System*","Louisiana",0.21755,2359943000,2039757013,0.075,615782000,0,0.08406,0.08432,-102519110
"732",2010,"Louisiana Parochial Employee Retirement System*","Louisiana",0.15236,2491082000,2386817568,0.075,628737000,0,0.08417,0.08444,-109022820
"733",2011,"Louisiana Parochial Employee Retirement System*","Louisiana",-0.0065,2579913000,2396065974,0.075,636780000,0,0.08359,0.08388,-117784855
"734",2012,"Louisiana Parochial Employee Retirement System*","Louisiana",0.15614,3035528311,2780560651,0.075,645209607,0,0.08274,0.08283,-132840050
"735",2013,"Louisiana Parochial Employee Retirement System*","Louisiana",0.18158,3217464867,3280944727,0.0725,632837802,0,0.08288,0.08296,-145757017
"736",2014,"Louisiana Parochial Employee Retirement System*","Louisiana",0.04194,3382386502,3429151743,0.0725,658246109,0,0.08169,0.08176,-159329813
"737",2015,"Louisiana Parochial Employee Retirement System*","Louisiana",-0.00576,3584114343,3379696529,0.07,675728358,0,0.08153,0.0816,-172182697
"738",2016,"Louisiana Parochial Employee Retirement System*","Louisiana",0.0765,3730412439,3589673035,0.07,700353447,0,0.08174,0.0818,-185500108
"739",2017,"Louisiana Parochial Employee Retirement System*","Louisiana",0.173,3983695557,4154647159,0.0675,708255847,0,0.08414,0.08421,-197763071
"740",2018,"Louisiana Parochial Employee Retirement System*","Louisiana",-0.0567,4237972952,3848761225,0.065,721802257,0.03,0.08096,0.08103,-203691964
"741",2019,"Louisiana Parochial Employee Retirement System*","Louisiana",0.000620876136363636,4359042834.73465,3701543950.01556,0.065,743456324.71,0.03,0.08096,0.08103,-209802722.92
"742",2001,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",-0.01873,1472423000,1486300456,0,249674000,0,0.1629,0.145,-81885206
"743",2002,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",-0.02372,1582071000,1376997606,0,258876000,0,0.1637,0.187,-89516977
"744",2003,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.03753,1730796000,1344190769,0.075,268656000,0,0.1856,0.263,-97597894
"745",2004,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.12065,1820959000,1434785797,0.075,259698000,0,0.1867,0.259,-102474273
"746",2005,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.08191,1889445000,1490399322,0.075,259232000,0,0.1905,0.271,-109842001
"747",2006,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.0974,1872594000,1504395671,0.075,239321000,0,0.1919,0.256,-119959677
"748",2007,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.1552,1947603000,1656629333,0.075,259045000,0,0.1926,0.253,-130256443
"749",2008,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",-0.0483,2060242000,1512241849,0.075,289529000,0,0.1875,0.251,-133619893
"750",2009,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",-0.1654,2153360000,1203687757,0.075,315400000,0,0.181,0.318,-131126987
"751",2010,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.1329,2213362000,1285852191,0.075,306333000,0,0.1844,0.361,-135746109
"752",2011,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.2395,2254351000,1516634590,0.075,296693000,0,0.1811,0.383,-143626224
"753",2012,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.0246,2278472000,1497109136,0.075,277191000,0,0.1818,0.398,-148526171
"754",2013,"Louisiana School Employees’ Retirement System (LSERS)*","Louisiana",0.1411,2404014000,1641164883,0.075,290014000,0.0275,0.1816,0.405,-154135219
