"","year","plan_name","state","return_1yr","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"117","2003","Arizona State Retirement System","Arizona","0.024","Projected Unit Credit","0.984","22572000000","17418714877","22935000000",NA,"177156746","1",NA,NA,"Level Dollar Open","-1083342000","1083342000","-35976000","-21148000",NA,"7296827756","177156746","0.0696","138100000",NA,"33655000","0.0579","1984000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0089","374008000","0.1186",NA,NA,"Plan covers state and local employees","363000000","0.0425"
"118","2004","Arizona State Retirement System","Arizona","0.175","Projected Unit Credit","0.925","22659000000","19940524999","24506000000",NA,"413457702","1",NA,NA,"Level Dollar Open","-1253825000","1253825000","-36212000","-23466000",NA,"7485590038","413457702","0.0775","297770000",NA,"65457000","0.0661","1906000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0248","789150000","0.1188",NA,NA,"Plan covers state and local employees","1847000000","0.0425"
"119","2005","Arizona State Retirement System","Arizona","0.085","Projected Unit Credit","0.861","22808000000","21029394547","26486000000",NA,"442642857","1",NA,NA,"Level Dollar Open","-1424949000","1424949000","-44164000","-21940000",NA,"8032457947","442642857","0.087","318311000",NA,"69972000","0.0762","1773000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0424","863904000","0.1208",NA,NA,"Plan covers state and local employees","3678000000","0.0425"
"120","2006","Arizona State Retirement System","Arizona","0.098","Projected Unit Credit","0.843","23767000000","22671365333","28192000000",NA,"477472000","1",NA,NA,"Level Dollar Open","-1556117000","1556117000","-60313000","-28054000",NA,"8311869615","477472000","0.091","477472000",NA,"117424000","0.0805","1727000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0479","1174156000","0.1236",NA,NA,"Plan covers state and local employees","4426000000","0.0425"
"121","2007","Arizona State Retirement System","Arizona","0.178","Projected Unit Credit","0.832","25310000000","26476068259","30390000000",NA,"663544000","1",NA,NA,"Level Dollar Open","-1672408000","1741629000","-77910000","-29817000",NA,"9161803726","663544000","0.0895","663544000",NA,"138131000","0.0799","9685000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0497","1538054000","0.1197",NA,NA,"Plan covers state and local employees","5080000000","0.0425"
"122","2008","Arizona State Retirement System","Arizona","-0.076","Projected Unit Credit","0.821","26613000000","24208124045","32425000000",NA,"759482000","1",NA,NA,"Level Dollar Open","-1790867000","1741909000","-104387000","-29195000",NA,"9708352896","759482000","0.09","759482000",NA,"158038000","0.0834","5196000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.051","1712521000","0.1224",NA,NA,"Plan covers state and local employees","5812000000","0.0425"
"123","2009","Arizona State Retirement System","Arizona","-0.181","Projected Unit Credit","0.79","27094000000","19506243433","34290000000",NA,"754044000","1",NA,NA,"Level Dollar Open","-1919309000","1802057000","-120689000","-27322000",NA,"9834810345","754044000","0.096","754044000",NA,"108165000","0.0901","3306000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0622","1671020000","0.1239",NA,NA,"Plan covers state and local employees","7196000000","0.0375"
"124","2010","Arizona State Retirement System","Arizona","0.1491","Projected Unit Credit","0.764","27572000000","21779421537","36073000000",NA,"749636000","1",NA,NA,"Level Dollar Open","-2057591000","2057591000","-154144000","-28237000",NA,"9419951810","749636000","0.105","763099000",NA,"109459000","0.0987","2953000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0767","1645980000","0.127",NA,NA,"Plan covers state and local employees","8501000000","0.0375"
"125","2011","Arizona State Retirement System","Arizona","0.246","Projected Unit Credit","0.755","27984000000","26440256592","37051000000",NA,"782347000","1",NA,NA,"Level Dollar Open","-2190728000","2166779000","-180719000","-27286000",NA,"9060630604","782347000","0.1155","786662000",NA,"122996000","0.096","6427000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0846","1690761000","0.1269",NA,NA,"Plan covers state and local employees","9067000000","0.0325"
"126","2012","Arizona State Retirement System","Arizona","0.013","Projected Unit Credit","0.753","28948000000","26047713626","38450000000",NA,"850456000","1",NA,NA,"Level Dollar Open","-2327678000","2327678000","-207289000","-31052000",NA,"8868678184","850456000","0.1145","852167000",NA,"122235000","0.105","2236000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0902","1811794000","0.1293",NA,NA,"Plan covers state and local employees","9502000000","0.0325"
"127","2013","Arizona State Retirement System","Arizona","0.131","Projected Unit Credit","0.754","30111000000","28677043323","39912000000",NA,"889580000","1",NA,NA,"Level Dollar Closed","-2445341000","2462054000","-218607000","-32851000",NA,"8752783004","889580000","0.1148","911300000",NA,"123848000","0.1089","1233000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0951","1931327000","0.1286",NA,NA,"Plan covers state and local employees","9801000000","0.03"
"128","2014","Arizona State Retirement System","Arizona","0.186","Projected Unit Credit","0.763","31548000000","33337146512","41349000000","48490307000","965969000","1.0",NA,NA,"Level Dollar Closed","-2566372000","2566313000","-246201000","-26107000",NA,"8908620792","995284000","0.1152","965969000",NA,"190006000","0.1085","1044000",NA,NA,NA,"0.08","0.08","30.0",NA,"0.0847","1994738000","0.139",NA,NA,"Plan covers state and local employees","9801000000","0.03"
"129","2015","Arizona State Retirement System","Arizona","0.032","Projected Unit Credit","0.771","33113000000","33329078636","42968000000","49222083000","1004746000","1.0",NA,NA,"Level Dollar Closed","-2671496000","2671496000","-255606000","-26400000",NA,"9072376682","1031954000","0.1189","1004747000",NA,"133704000","0.1078","1029000",NA,NA,NA,"0.08","0.08","30.0","0.03","0.0882","2057403000","0.1385",NA,NA,"Plan covers state and local employees","9855000000","0.03"
"130","2016","Arizona State Retirement System","Arizona","0.006","Projected Unit Credit","0.77","35761373386","34292592169","44535007068","49000795000","990072000","1.0",NA,NA,"Level Dollar Closed","-2804531000","2804531000","-258315000","-22965000",NA,"9125089000","1036714000","0.1134","1015974000",NA,"135992000","0.1134","1701000",NA,NA,NA,"0.08","0.08","30.0","0.03","0.0905","2078154000","0.1363",NA,NA,"Plan covers state and local employees","10343551147","0.03"
"131","2017","Arizona State Retirement System","Arizona","0.139","entry Age Normal","0.697","36806856334","37783302345","50618760912","51780807000","1026079000","1.0",NA,NA,"Level Percent Closed","-2931860000",NA,"-249547000","-27895000",NA,"9518309000","1079257000","0.1164","1053198000",NA,NA,"0.1164","540000",NA,NA,NA,"0.075","0.075","30.0","0.027","0.0781","2147104000","0.1547",NA,NA,"Plan covers state and local employees","15382143940","0.027"
"132","2018","Arizona State Retirement System","Arizona","0.094","entry Age Normal","0.712","38592895025","40166794468","54236831000","52438430000","1056995000","1.0",NA,NA,"Level Percent Closed","-3045450000","3045450862000","-259358000","-26878000",NA,"9921214513","1099663000","0.1194","1085033000",NA,"812852538000","0.1194","2423000",NA,NA,NA,"0.075","0.075","30.0","0.025","0.0897","2207107000","0.1491",NA,NA,"Plan covers state and local employees","15583842248",NA
"133","2019","Arizona State Retirement System","Arizona","0.066","entry Age Normal","0.723","40568589169","41556800159","56127566734","54376305000","1147646000","1.0",NA,NA,"Level Percent Closed","-3169788000",NA,"-261975000","-26802000",NA,"10340300426","1194100000","0.1204","1180966000",NA,NA,"0.1204","1307000",NA,NA,NA,"0.075","0.075","30.0",NA,"0.0935","2392625000","0.1473",NA,NA,"Plan covers state and local employees","15558977565",NA
"134","2001","Arkansas Public Employees System","Arkansas","-0.0382","Entry Age Normal","1.06","4342000000","4014116417","4111000000",NA,"100925338","1.0",NA,NA,"Level Percent Closed","-135330351","150000000","-369060","-3853726",NA,"1070000000","301349",NA,"100925338",NA,"80831000",NA,NA,NA,NA,NA,"0.08",NA,"30.0",NA,NA,"101226687",NA,NA,NA,"Plan covers state and local employees","-231000000","0.045"
"135","2002","Arkansas Public Employees System","Arkansas","-0.0574","Entry Age Normal","1.0","4404000000","3740821354","4398000000",NA,"109037491","1.0",NA,NA,"Level Percent Open","-153007132","167600000","-805155","-4067319",NA,"1112000000","221186","0.0002","109037491",NA,"83033000","0.1",NA,NA,NA,NA,"0.08",NA,"30.0",NA,"-0.004","109258677","0.1042",NA,NA,"Plan covers state and local employees","-6000000","0.04"
"136","2003","Arkansas Public Employees System","Arkansas","0.0553","Entry Age Normal","0.95","4416000000","3882663393","4674000000",NA,"115690798","1.0",NA,NA,"Level Percent Open","-169763198","186000000","-678143","-4370719",NA,"1148000000","159642","0.0002","115690798",NA,"85219000","0.1109",NA,NA,NA,NA,"0.08",NA,"30.0",NA,"0.0115","115850440","0.0996",NA,NA,"Plan covers state and local employees","258000000","0.04"
"137","2004","Arkansas Public Employees System","Arkansas","0.134","Entry Age Normal","0.89","4438000000","4306846042","5005000000",NA,"118419346","1.0",NA,NA,"Level Percent Open","-182901681","203400000","-374972","-4759527",NA,"1176000000","117955","0.0001","118419346",NA,"86440000","0.1254",NA,NA,NA,NA,"0.08",NA,"30.0",NA,"0.0256","118537301","0.0999",NA,NA,"Plan covers state and local employees","567000000","0.04"
"138","2005","Arkansas Public Employees System","Arkansas","0.0985","Entry Age Normal","0.86","4584000000","4640777983","5323000000",NA,"135027447","1.0",NA,NA,"Level Percent Open","-207122449","232900000","-526398","-4313081",NA,"1215000000","82836","0.05","135027446",NA,"97061000","0.1254",NA,NA,NA,NA,"0.08",NA,"22.0",NA,"0.0639","135110282","0.1115",NA,NA,"Plan covers state and local employees","739000000","0.04"
"139","2006","Arkansas Public Employees System","Arkansas","0.1224","Entry Age Normal","0.83","4949000000","5135503145","5936000000",NA,"158152183","1.0",NA,NA,"Level Percent Open","-219711792","254700000","-62133","-4272313",NA,"1267000000","4667067","0.05","158152183",NA,"112283000","0.1254",NA,NA,NA,NA,"0.08",NA,"19.0",NA,"0.0549","162819250","0.1205",NA,NA,"Plan covers state and local employees","987000000","0.04"
"140","2007","Arkansas Public Employees System","Arkansas","0.1801","Entry Age Normal","0.891","5498000000","5970244053","6174000000",NA,"163223695","1.0",NA,NA,"Level Dollar","-244137717","274800000","-632790","-4747840",NA,"1303000000","12192289","0.05","163888295",NA,"114327000","0.1101",NA,NA,NA,NA,"0.08",NA,"18.0",NA,"0.0384","176080584","0.1217",NA,NA,"Plan covers state and local employees","676000000","0.04"
"141","2008","Arkansas Public Employees System","Arkansas","-0.0445","Entry Age Normal","0.897","5866000000","5638451921","6543000000",NA,"173462377","1.0",NA,NA,"Level Dollar","-266296562","297000000","-1919767","-5100085",NA,"1380000000","18443261","0.05","174119820",NA,"116898000","0.11",NA,NA,NA,NA,"0.08",NA,"13.0",NA,"0.0442","192563081","0.1158",NA,NA,"Plan covers state and local employees","677000000","0.04"
"142","2009","Arkansas Public Employees System","Arkansas","-0.2089","Entry Age Normal","0.78","5413000000","4349812685","6938000000",NA,"159232361","1.0",NA,NA,"Level Dollar","-299896780","323100000","-2661289","-5482554",NA,"1434000000","23722994","0.05","159827501",NA,"119352000","0.1246",NA,NA,NA,NA,"0.08",NA,"30.0",NA,"0.0576","183550495","0.117",NA,NA,"Plan covers state and local employees","1525000000","0.04"
"143","2010","Arkansas Public Employees System","Arkansas","0.1195","Entry Age Normal","0.741","5409000000","4728500376","7304000000",NA,"169604041","1.0",NA,NA,"Level Dollar","-318998006","342200000","-3586861","-5981358",NA,"1523000000","30334716","0.05","170186564",NA,"120833000","0.1347",NA,NA,NA,NA,"0.08",NA,"27.0",NA,"0.0676","200521280","0.1171",NA,NA,"Plan covers state and local employees","1895000000","0.04"
"144","2011","Arkansas Public Employees System","Arkansas","0.26","Entry Age Normal","0.707","5467000000","5801921116","7734000000",NA,"195628572","1.0",NA,NA,"Level Dollar","-344140357","375700000","-6123910","-6374379",NA,"1623000000","34639544","0.05","196428733",NA,"139465000","0.1424",NA,NA,NA,NA,"0.08",NA,"26.0",NA,"0.0758","231068277","0.1166",NA,NA,"Plan covers state and local employees","2267000000","0.04"
"145","2012","Arkansas Public Employees System","Arkansas","-0.0033","Entry Age Normal","0.689","5625000000","5692415862","8163000000",NA,"229631149","1.0",NA,NA,"Level Dollar","-359330673","399500000","-7420785","-6794526",NA,"1686000000","41361523","0.05","230495674",NA,"164373000","0.1488","1481214",NA,NA,NA,"0.08",NA,"25.0",NA,"0.0822","273338411","0.1166",NA,NA,"Plan covers state and local employees","2538000000","0.04"
"146","2013","Arkansas Public Employees System","Arkansas","0.1558","Entry Age Normal","0.743","6159000000","6434470500","8284000000",NA,"249540632","1.0",NA,NA,"Level Dollar Closed","-396607128","426200000","-8446701","-7340273",NA,"1693000000","44549911","0.0274","249062186",NA,"176834000","0.1476","1863992",NA,NA,NA,"0.08",NA,"22.0",NA,"0.0761","295476089","0.0989",NA,NA,"Plan covers state and local employees","2125000000","0.04"
"147","2014","Arkansas Public Employees System","Arkansas","0.1968","Entry Age Normal","0.778","6895000000","7531189627","8864000000","8920451518","264100000","1.0",NA,NA,"Level Dollar Closed","-414548645","457100000","-9455348","-7209769",NA,"1745000000","48237869","0.0293","264477703",NA,"181285000","0.145","381216",NA,NA,NA,"0.0775",NA,"21.0",NA,"0.0717","313096788","0.1026",NA,NA,"Plan covers state and local employees","1969000000","0.0375"
"148","2015","Arkansas Public Employees System","Arkansas","0.0245","Entry Age Normal","0.791","7352000000","7549993238","9295000000","9391975712","263300000","1.0",NA,NA,"Level Percent Closed","-451912791","483900000","-12195637","-7201144",NA,"1645000000","51596001","0.0312","262327561",NA,"262328000","0.145","392653",NA,NA,NA,"0.075",NA,"25.0",NA,"0.0689","314316215","0.1073",NA,NA,"Plan covers state and local employees","1943000000","0.0325"
"149","2016","Arkansas Public Employees System","Arkansas","0.003","Entry Age Normal","0.804","7769000000","7370324320","9663000000","9762106222","264200000","1.0",NA,NA,"Level Percent Closed","-480913495","509700000","-13188729","-7366640",NA,"1686500000","55944132","0.0329","263141390",NA,"177311000","0.1475","404433",NA,NA,NA,"0.075",NA,"21.0",NA,"0.0724","319489954","0.108",NA,NA,"Plan covers state and local employees","1894000000","0.0325"
"150","2017","Arkansas Public Employees System","Arkansas","0.123","Entry Age Normal","0.776","8157000000","8028796790","10510000000","10612937270","261300000","1.0",NA,NA,"Level Percent Closed","-508200406","540100000","-13755408","-9502608",NA,"1668800000","58500339","0.0347","261656384",NA,NA,"0.1532","407363",NA,NA,NA,"0.0715",NA,"30.0","0.0325","0.0716","320564086","0.1163",NA,NA,"Plan covers state and local employees","2353000000","0.0325"
"151","2018","Arkansas Public Employees System","Arkansas","0.1023","Entry Age Normal","0.787","8416000000","8602752132","10694000000","10808687173","276300000","1.0",NA,NA,"Level Percent Closed","-530861312","575100000","-13727908","-11503639",NA,"1723600000","64730519","0.0347","276229082",NA,"185445435000","0.1532","555150",NA,NA,NA,"0.0715",NA,"26.0","0.0325","0.0743","341514751","0.1136",NA,NA,"Plan covers state and local employees","2278000000",NA
"152","2019","Arkansas Public Employees System","Arkansas",NA,"Entry Age Normal","0.785","8739000000",NA,"11129000000",NA,NA,NA,NA,NA,"Level Percent Closed",NA,"609096380",NA,NA,NA,"1802400000",NA,"0.0336",NA,NA,NA,"0.1532",NA,NA,NA,NA,"0.0715",NA,"24.0",NA,"0.0756",NA,"0.1139",NA,NA,"Plan covers state and local employees","2390000000",NA
"153","2001","Arkansas Teachers Retirement Plan","Arkansas","-0.029","Entry Age Normal","0.954","8166000000","7642865577","8561000000",NA,"178249870","1.016",NA,NA,"Level Percent","-323392426","309030000","-2975138","-8254731",NA,"1557000000","68717889","0.0398","181115569",NA,"16826000","0.12",NA,NA,NA,NA,"0.08",NA,"22.0","0.045","0.0083","249833458","0.1515",NA,NA,"Plan covers teachers","395000000","0.045"
"154","2002","Arkansas Teachers Retirement Plan","Arkansas","-0.062","Entry Age Normal","0.919","8328000000","7084325012","9062000000",NA,"186853997","1.024",NA,NA,"Level Percent","-354949683","334150000","-2744684","-7354162",NA,"1628000000","71893349","0.0388","191352910",NA,"17777000","0.12",NA,NA,NA,NA,"0.08",NA,"38.0","0.04","0.0218","263246259","0.137",NA,NA,"Plan covers teachers","734000000","0.04"
"155","2003","Arkansas Teachers Retirement Plan","Arkansas","0.02","Entry Age Normal","0.859","8113000000","7050355544","9445000000",NA,"195360704","1.026",NA,NA,"Level Percent","-383071936","359980000","-3585188","-7973933",NA,"1683000000","76734478","0.039","200455916",NA,"17040000","0.13",NA,NA,NA,NA,"0.08",NA,"36.0","0.04","0.0394","277190394","0.1296",NA,NA,"Plan covers teachers","1332000000","0.04"
"156","2004","Arkansas Teachers Retirement Plan","Arkansas","0.177","Entry Age Normal","0.838","8424000000","8122004035","10050000000",NA,"218837418","1.024",NA,NA,"Level Percent","-413433516","386230000","-4017884","-8197465",NA,"1748000000","77772019","0.0393","224184274",NA,"20826000","0.14",NA,NA,NA,NA,"0.08",NA,"31.0","0.04","0.0498","301956293","0.1295",NA,NA,"Plan covers teachers","1626000000","0.04"
"157","2005","Arkansas Teachers Retirement Plan","Arkansas","0.094","Entry Age Normal","0.804","8817000000","8811146753","10973000000",NA,"244678875","1.17",NA,NA,"Level Percent","-451978547","415040000","-4413077","-6454762",NA,"1962000000","86102842","0.0399","286442709",NA,"25779000","0.14",NA,NA,NA,NA,"0.08",NA,"30.0","0.04","0.0524","372545551","0.1275",NA,NA,"Plan covers teachers","2156000000","0.04"
"158","2006","Arkansas Teachers Retirement Plan","Arkansas","0.124","Entry Age Normal","0.803","9332000000","9868311510","11623000000",NA,"285635385","1.091",NA,NA,"Level Percent","-507641961","449770000","-6207621","-5991755",NA,"2080000000","92005600","0.0416","311713735",NA,"22629000","0.14",NA,NA,NA,NA,"0.08",NA,"36.0","0.04","0.0528","403719335","0.1288",NA,NA,"Plan covers teachers","2291000000","0.04"
"159","2007","Arkansas Teachers Retirement Plan","Arkansas","0.191","Entry Age Normal","0.853","10519000000","11636934713","12329000000",NA,"321663706","1.032",NA,NA,"Level Percent","-545220337","484550000","-5179850","-5854557",NA,"2191000000","100093372","0.0444","331891210",NA,"24094000","0.14",NA,NA,NA,NA,"0.08",NA,"19.0","0.04","0.0567","431984581","0.1277",NA,NA,"Plan covers teachers","1810000000","0.04"
"160","2008","Arkansas Teachers Retirement Plan","Arkansas","-0.037","Entry Age Normal","0.849","11319000000","11018088336","13334000000",NA,"343985637","1.018",NA,NA,"Level Percent","-587319942","515560000","-6462122","-6676667",NA,"2268000000","108872293","0.0454","350319504",NA,"25132000","0.14",NA,NA,NA,NA,"0.08",NA,"21.0","0.04","0.0567","459191797","0.1287",NA,NA,"Plan covers teachers","2015000000","0.04"
"161","2009","Arkansas Teachers Retirement Plan","Arkansas","-0.18","Entry Age Normal","0.757","10617000000","8802987225","14019000000",NA,"344033405","1.044",NA,NA,"Level Percent","-635878958","564590000","-6406016","-6894113",NA,"2318000000","111513000","0.0462","359062000",NA,"25781000","0.14",NA,NA,NA,NA,"0.08",NA,"45.0","0.04","0.0572","470575000","0.129",NA,NA,"Plan covers teachers","3402000000","0.04"
"162","2010","Arkansas Teachers Retirement Plan","Arkansas","0.135","Entry Age Normal","0.738","10845000000","9883573998","14697000000",NA,"362850049","1.073",NA,NA,"Level Percent","-701562784","612770000","-7156349","-7229398",NA,"2381000000","115931733","0.0468","389296433",NA,"27952000","0.14",NA,NA,NA,NA,"0.08",NA,"52.0","0.04","0.0579","505228166","0.1289",NA,NA,"Plan covers teachers","3852000000","0.04"
"163","2011","Arkansas Teachers Retirement Plan","Arkansas","0.223","Entry Age Normal","0.718","11146000000","11894877338","15521000000",NA,"417318761","0.959",NA,NA,"Level Percent","-731866100","657080000","-8906441","-7548959",NA,"2728000000","139460601","0.0509","400330902",NA,"28744000","0.14",NA,NA,NA,NA,"0.08",NA,"66.0","0.0325","0.0691","539791503","0.1218",NA,NA,"Plan covers teachers","4375000000","0.0325"
"164","2012","Arkansas Teachers Retirement Plan","Arkansas","-0.009","Entry Age Normal","0.712","11484000000","11483885509","16139000000",NA,"443648576","0.899",NA,NA,"Level Percent","-791844923","709170000","-9225151","-7752975",NA,"2714000000","117662465","0.048","398822946",NA,"27918000","0.14",NA,NA,NA,NA,"0.08",NA,"100.0","0.0325","0.0707","516485410","0.1173",NA,NA,"Plan covers teachers","4655000000","0.0325"
"165","2013","Arkansas Teachers Retirement Plan","Arkansas","0.143","Entry Age Normal","0.733","12247000000","12829565579","16718000000",NA,"452142154","0.887",NA,NA,"Level Percent","-846210946","763761250","-11087596","-7755004",NA,"2727000000","113900227","0.0486","400933872",NA,"29273000","0.14",NA,NA,NA,NA,"0.08",NA,"70.0","0.0325","0.0711","514834099","0.1175",NA,NA,"Plan covers teachers","4471000000","0.0325"
"166","2014","Arkansas Teachers Retirement Plan","Arkansas","0.19","Entry Age Normal","0.773","13375000000","14856276668","17310000000","17481282947","485904529","0.8333299999999999",NA,NA,"Level Percent","-914250015","822194190","-10485104","-8034235",NA,"2850860174","125225906","0.053","404920440",NA,"18735000","0.14",NA,NA,NA,NA,"0.08",NA,"39.0","0.0325","0.0706","530146346","0.1224",NA,NA,"Plan covers teachers","3935000000","0.0325"
"167","2015","Arkansas Teachers Retirement Plan","Arkansas","0.052","Entry Age Normal","0.796","14434000000","15035701312","18136000000","18292611144","474773530","0.8598399999999999",NA,NA,"Level Percent Closed","-970719484","916620000","-10774122","-8034857",NA,"2777000000","128555684","0.0536","408230472",NA,"18896000","0.14",NA,NA,NA,NA,"0.08",NA,"30.0","0.0325","0.0711","536786156","0.1225",NA,NA,"Plan covers teachers","3702000000","0.0325"
"168","2016","Arkansas Teachers Retirement Plan","Arkansas","-0.005","Entry Age Normal","0.81007","15239000000","14558576731","18812000000","18970019488","437434470","0.9381",NA,NA,"Level Percent Closed","-1035958950","983870940","-10145471","-8059030",NA,"2785000000","131100983","0.0543","410358229",NA,"18021000","0.14",NA,NA,NA,NA,"0.08",NA,"30.0","0.0325","0.0714","541459212","0.1229",NA,NA,"Plan covers teachers","3573000000","0.0325"
"169","2017","Arkansas Teachers Retirement Plan","Arkansas","0.161","Entry Age Normal","0.79469","16131000000","16284808244","20298442899","20488672119","423846831","0.9790200000000001",NA,NA,"Level Percent Closed","-1092952357","1044740000","-10874003","-7825595",NA,"2814000000","133109939","0.0641","414954939",NA,NA,"0.15",NA,NA,NA,NA,"0.075",NA,"29.0","0.0275","0.0856","548064878","0.1285",NA,NA,"Plan covers teachers","4167442899",NA
"170","2018","Arkansas Teachers Retirement Plan","Arkansas","0.116","Entry Age Normal","0.8","16756000000","17492627740","20935000000","21131589859","422365685","1.0050299999999999",NA,NA,"Level Percent Closed","-1160738237","1099348000","-9455405","-9336430",NA,"2872000000","138766747","0.0643","424488126",NA,"424488126000","0.15",NA,NA,NA,NA,"0.075",NA,"28.0","0.0275","0.0857","563254873","0.1286",NA,NA,"Plan covers teachers","4179000000",NA
"171","2019","Arkansas Teachers Retirement Plan","Arkansas",NA,"Entry Age Normal","0.802","17413000000",NA,"21709000000",NA,NA,NA,NA,NA,NA,NA,"1146740000",NA,NA,NA,"2907000000",NA,"0.0647",NA,NA,NA,"0.15",NA,NA,NA,NA,"0.075",NA,"28.0",NA,"0.0855",NA,"0.1292",NA,NA,"Plan covers teachers","4296000000",NA
"172","2001","California State Teachers Retirement System","California","-0.0912","Entry Age Normal","0.98","107654000000","103137630000","109881000000",NA,"1794000000","1.23",NA,NA,"Level Percent Open","-3764632000","3764632000","-77477000","-54536000",NA,"20585000000","1843457000","0.06","1883915000",NA,"946194000","0.11082",NA,NA,NA,NA,"0.08",NA,"29.0","0.0425","0.00585","4673566000","0.16497",NA,NA,"Plan covers teachers","2227000000","0.0425"
"173","2002","California State Teachers Retirement System","California","-0.0595","Entry Age Normal","0.89515","108160500000","96709460000","120829000000",NA,"2498000000","0.9",NA,NA,"Level Percent Open","-4244189000","4244189000","-74025000","-63785000",NA,"21617000000","1872647000",NA,"1725035000",NA,"915825000",NA,NA,NA,NA,NA,"0.08",NA,"29.0",NA,NA,"4513507000",NA,NA,NA,"Plan covers teachers","12668500000",NA
"174","2003","California State Teachers Retirement System","California","0.0341","Entry Age Normal","0.82","108667000000","100372328000","131777000000",NA,"2545000000","0.91",NA,NA,"Level Percent Open","-4716300000","4716300000","-79513000","-72749000",NA,"22649000000","2094096000","0.06","1967974000",NA,"1014992000","0.15822",NA,NA,NA,NA,"0.08",NA,"29.0","0.0425","0.049839999999999995","5077062000","0.16838",NA,NA,"Plan covers teachers","23110000000","0.0425"
"175","2004","California State Teachers Retirement System","California","0.1738","Entry Age Normal","0.83","114094000000","116061289000","138254000000",NA,"4011000000","0.61531",NA,NA,"Level Percent Open","-5322030000","5545531000","-82456000","-94767000",NA,"22591000000","2210310000","0.06","2047448000",NA,"548686000","0.16062",NA,NA,NA,NA,"0.08",NA,"100.0","0.0425","0.052329999999999995","4806444000","0.16829000000000002",NA,NA,"Plan covers teachers","24160000000","0.0425"
"176","2005","California State Teachers Retirement System","California","0.1109","Entry Age Normal","0.86","121882000000","129523633000","142193000000",NA,"4335000000","0.74348",NA,NA,"Level Percent Open","-5912602000","6133873000","-87969000","-94662000",NA,"23257000000","2326536000","0.06","2104712000",NA,"1182614000","0.1532",NA,NA,NA,NA,"0.08",NA,"100.0","0.0425","0.045","5649862000","0.1682",NA,NA,"Plan covers teachers","20311000000","0.0425"
"177","2006","California State Teachers Retirement System","California","0.1321","Entry Age Normal","0.87","131237000000","144212376000","150872000000",NA,"4494000000","0.6927",NA,NA,"Level Percent Open","-6433749000","6649007000","-97453000","-95611000",NA,"24240000000","2230754000","0.06","2203548000",NA,"935200000","0.14987999999999999",NA,NA,NA,NA,"0.08",NA,"100.0","0.0425","0.04168","5453022000","0.1682",NA,NA,"Plan covers teachers","19635000000","0.0425"
"178","2007","California State Teachers Retirement System","California","0.2103","Entry Age Normal","0.89","148427000000","172377918000","167129000000",NA,"4584000000","0.7096399999999999",NA,NA,"Level Percent Open","-6937581000","7167918000","-106153000","-105895000",NA,"25906000000","2334954000","0.06","2285728000",NA,"1084387000","0.15356",NA,NA,NA,NA,"0.08",NA,"30.0","0.0425","0.04071","5705069000","0.17285",NA,NA,"Plan covers teachers","18702000000","0.0425"
"179","2008","California State Teachers Retirement System","California","-0.0369","Entry Age Normal","0.87","155215000000","161498193000","177734000000",NA,"4991000000","0.80004",NA,NA,"Level Percent Open","-7591680000","7821540000","-101778000","-109363000",NA,"27118000000","2511810000","0.06","2453268000",NA,"1629635000","0.15563",NA,NA,NA,NA,"0.08",NA,"30.0","0.0425","0.04235","6594713000","0.17328",NA,NA,"Plan covers teachers","22519000000","0.0425"
"180","2009","California State Teachers Retirement System","California","-0.2503","Entry Age Normal","0.78","145142000000","118430073000","185683000000",NA,"5152000000","0.67391",NA,NA,"Level Percent Open","-8256132000","8210639000","-105816000","-113154000",NA,"27327000000","2500632000","0.06","2464243000",NA,"1140382000","0.25859",NA,NA,NA,NA,"0.08",NA,"30.0","0.0425","0.14545","6105257000","0.17314000000000002",NA,NA,"Plan covers teachers","40541000000","0.0425"
"181","2010","California State Teachers Retirement System","California","0.122","Entry Age Normal","0.71","140291000000","129768107000","196315000000",NA,"5583000000","0.60039",NA,NA,"Level Percent Open","-9085362000","9214000000","-100125000","-140273000",NA,"26275000000","2331430000","0.06","2286266000",NA,"1221628000","0.27512",NA,NA,NA,NA,"0.0775",NA,"30.0","0.04","0.15799000000000002","5839324000","0.17712999999999998",NA,NA,"Plan covers teachers","56024000000","0.04"
